n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n
1852.4,1982.6,2152.1,2314,2446.9,2597.2,2736.8,2871.7,NaN,3059.9,3204.7,3416.6,NaN,3495.6,3668,NaN,3861.6,4008,4212.5,NaN,4315,4488.2,4635,4742.3,4930.8,NaN,5123.6,5272.2,5447.6,NaN,5574,5765.1,NaN,5958.9,6111.8,6314.8,NaN,6412.8,6609.2,NaN,6802,6949.4,7116.8,NaN,7264.4,7447.2,NaN,7644.3,7795.4,7997.5,8143.9,8252.6,8433.4,NaN,8634,8786.8,9132,9269.6,9382.4,9573.7,NaN,9771.7,9921.3,10082,NaN,10225,10432,NaN,10632,10784,10981,NaN,11135,11348,11508,11651,11790,NaN,11985,12139,12312,NaN,12461,12653,NaN,12851,13013,13172
1886.6,2039.5,2200.4,2358.9,2513,2673.1,2815.6,NaN,3017,3165.6,3288.1,NaN,3464.7,3568.4,NaN,3819.2,3963.8,4096,NaN,4279.5,4396.8,4564.2,4708,4823.4,NaN,5081.5,5229.6,5357,NaN,5542.3,5653.2,NaN,5915,6058.7,6196.8,NaN,6385.2,6511.7,NaN,6757.4,6899.1,7037.8,NaN,7222.8,7356.5,NaN,7595.3,7747.2,7879.7,8076.7,8219.5,8326.5,NaN,8583,8728.7,8870.5,9202.4,9344.1,9475.4,NaN,9724.3,9869.5,10003,NaN,10189,10318,NaN,10581,10732,10870,NaN,11093,11224,11419,11584,11731,NaN,11941,12083,12227,NaN,12424,12554,NaN,12800,12950,13096,13285
