n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e
3602.9,4360.1,4496.3,4624.2,4775.7,4918.9,5057.3,5191.5,5300.6,NaN,5477.2,5617.3,5805.6,NaN,5900.1,6082.1,NaN,6265.4,6407.2,6615.7,NaN,6693.5,6873.5,NaN,7061.7,7203.2,7412.9,NaN,7493.9,7683.8,NaN,7871.8,8018.3,8214.7,8359.7,8462.6,8641.9,NaN,8831.1,8976.3,9173.3,NaN,9269.5,9451.9,NaN,9644.6,9790.4,9960,10114,10225,10415,NaN,10606,10752,10967,NaN,11051,11247,11398,11543,11648,NaN,11838,11998,12164,12313,12430,12623,NaN,12814,12960,13447,13586,13723,13865,13966,NaN,14154,14303,14508,NaN,14602,14787,NaN,14980,15128,15362,15499,15604,15786,NaN,15976,16127,16329,NaN,16427,16627,NaN,16822,16972,17246,17386,17511,17697,NaN,17893,18057,18267,NaN,18361,18549,NaN,18741,18894,19130,NaN,19214,19407,NaN,19600,19760
3638.4,4393.7,4532.6,4692.6,4846.8,4994,5132.2,5265.5,NaN,5423.5,5579.8,5697.6,NaN,5872.1,5973.1,NaN,6224.3,6365.3,6487.1,NaN,6666.9,6765.6,NaN,7020.3,7161.5,7286.6,NaN,7464.9,7566.6,NaN,7825.9,7974.3,8098.2,8288.8,8434,8539.3,NaN,8785.4,8931.2,9060.1,NaN,9235.7,9347.7,NaN,9599.8,9745.7,9877.2,10038,10192,10300,NaN,10563,10706,10838,NaN,11020,11127,11320,11476,11614,NaN,11785,11945,12084,12243,12388,12530,NaN,12772,12917,13049,13511,13661,13802,13941,NaN,14106,14259,14392,NaN,14574,14682,NaN,14937,15088,15212,15421,15569,15682,NaN,15934,16081,16211,NaN,16395,16500,NaN,16776,16927,17055,17311,17469,17612,NaN,17849,17998,18139,NaN,18333,18437,NaN,18696,18848,18983,NaN,19183,19295,NaN,19557,19704,19844
