n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
5273.8,5411.3,5562.8,5707.5,5846.5,5979.2,NaN,6164.9,6304.5,6515.4,NaN,6597.2,6783.4,NaN,6974.9,7122.9,7332.2,NaN,7414.2,7610.2,7756.4,7908.7,8060.8,8160.2,NaN,8351.2,8496.4,8756.2,8898.6,9001.5,9173.7,NaN,9365.3,9514.8,9712.4,NaN,9813.9,10007,NaN,10197,10342,10544,NaN,10642,10834,NaN,11024,11176,11402,NaN,11482,11681,11829,11948,12151,NaN,12342,12487
5307.9,5467.9,5635.9,5779.1,5924.2,NaN,6123.7,6263.9,6385.9,NaN,6565.8,6672.2,NaN,6929.9,7075.6,7203.5,NaN,7384.8,7494.1,7685,7833.8,7985.5,8131.4,NaN,8294.9,8452.6,8581.7,8826.8,8968,9078,NaN,9320,9466.7,9601,NaN,9783,9890.7,NaN,10151,10300,10425,NaN,10610,10720,NaN,10977,11127,11261,NaN,11452,11560,11762,11906,12045,NaN,12298,12446,12572
