n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,n,a,b,l,e,d,g,f,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,n,f,a,b,l,e
1993.2,2141.1,2304.8,2454.9,2610.5,NaN,2794.1,2938,3152.2,NaN,3233.5,3423.2,NaN,3620.1,3767.2,3979.7,NaN,4062.7,4264.7,4414,4567.4,4691.6,NaN,4882.8,5032.2,5250.7,NaN,5334.1,5524.3,NaN,5723.7,5879.5,6088.5,NaN,6190.5,6398.2,NaN,6585.2,6736.2,6969.2,NaN,7055.2,7266.2,NaN,7456.7,7608.9,7832.8,NaN,7916.4,8123.7,8285.2,8433.1,8585.3,8695.6,NaN,8895.1,9048.7,9260.8,NaN,9365.2,9572.3,9730.9,9848.8,10045,NaN,10252,10406,10636,10799,10917,11113,NaN,11313,11467,11791,11948,12067,12261,NaN,12465,12617,12784,NaN,12931,13150,13317,13468,13647,13790,13899,NaN,14100,14254,14423,NaN,14574,14794,14965,15122,15296,15467,15610,NaN,15802,15958,16126,NaN,16293,16514,NaN,16708,16868,17032,NaN,17186,17448,17603,17754,17970,18126,18252,18451,NaN,18655,18814
2034.7,2201.1,2374.2,2527.4,NaN,2744.7,2888.5,3019.6,NaN,3200.7,3296.6,NaN,3573.3,3704.8,3849.1,NaN,4029.9,4136.3,4334.9,4495.8,4641.1,NaN,4829.9,4978.4,5116.5,NaN,5298.7,5406.8,NaN,5672.6,5818.9,5960.1,NaN,6153.1,6281.2,NaN,6532.3,6681.5,6823.5,NaN,7017,7146.5,NaN,7407.2,7558.8,7693.4,NaN,7879.6,7983.1,8198.6,8361.5,8510.7,8659.9,NaN,8846.3,8990.8,9135.8,NaN,9328.8,9453.2,9643.7,9804.4,9941.3,NaN,10197,10354,10494,10713,10870,11009,NaN,11267,11417,11556,11861,12022,12168,NaN,12410,12569,12704,NaN,12896,13023,13217,13394,13547,13725,13864,NaN,14053,14204,14340,NaN,14532,14668,14864,15037,15203,15377,15547,NaN,15754,15899,16045,NaN,16240,16389,NaN,16657,16810,16958,NaN,17148,17282,17516,17685,17836,18045,18202,18351,NaN,18604,18756,18906
