l,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1982,2065.9,2250.6,2385.4,2528.5,2651,2791.7,2933.1,3047.5,NaN,3227.3,3369.8,3575.2,NaN,3654.4,3832.4,NaN,4019.4,4165,4368.9,NaN,4446.5,4630.7,NaN,4818.9,5170.9,NaN,5249.3,5431.6,NaN,5624.2,5774.3,5951.9,6098.7,6209.7,6394.5,NaN,6577.7,6721.2,6920.7,NaN,7009.7,7189.8,NaN,7381.1,7532.3,7743.6,NaN,7823.8,8022.4,8176.4,8279.9,8469.3,NaN,8652.6,8796.3,9026.8,9168.6,9282.6,9463.4,NaN,9655.4,9801.7,10013,NaN,10096,10284,NaN,10481,10631
2015.9,2158.9,2307.8,2443.3,2585.9,2716.7,2863.9,3008,NaN,3181.4,3315.4,3447.3,NaN,3622.1,3722.1,NaN,3975.4,4101.4,4240.7,NaN,4417.3,4510.9,NaN,4773.5,5056.6,NaN,5219.1,5317.5,NaN,5575.9,5714.9,5850.7,6027.3,6170.1,6297.8,NaN,6531.1,6670.8,6800.5,NaN,6977.5,7078.6,NaN,7333.2,7477,7614.4,NaN,7794.2,7893,8095.7,8245.8,8350.4,NaN,8607.4,8745.6,8879,9097.6,9239.1,9369.4,NaN,9607.8,9743.1,9882.5,NaN,10061,10166,NaN,10431,10569,10709
