n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,n,n,f,n,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e
2932.4,3096.7,3254.2,3405.2,3543.7,3684.3,3821.7,3938.8,NaN,4116.1,4251.4,4459.5,NaN,4535.6,4719.3,NaN,4905,5043.1,5250.4,NaN,5326.6,5517.6,NaN,5702.2,5846.7,6034.8,NaN,6133.2,6331.5,NaN,6511.5,6656.7,6849.7,NaN,6949.4,7136,7277.6,7402.5,7581.7,NaN,7772.4,7918.4,8106.6,8250.8,8348.2,8534.8,NaN,8723.1,8868.8,9091.6,NaN,9169.3,9361.9,NaN,9549.3,9699.3,9924.5,NaN,10006,10199,NaN,10390,10535,10762,10908,11012,11195,NaN,11387,11534,11737,NaN,11836,12050,12201,12341,12477,NaN,12664,12814,13005,NaN,13105,13299,NaN,13491,13642,13855,NaN,13951,14167,NaN,14362,14508,14737,14882,14992,15185,NaN,15382,15537,15697,NaN,15862,16049,NaN,16247,16398,16561,NaN,16717,16933,17092,17247,17392,17510,NaN,17702,17852,18107,18253,18357,18584,18746,18902,19066,19201,NaN,19392,19546,19770,NaN,19854,20089,20237,20385,20537,NaN,20729,20880,21092,NaN,21198,21404,NaN,21603,21776
2971.6,3155.6,3328.9,3473.2,3614.9,3759.4,3898.5,NaN,4073.1,4214.4,4331.3,NaN,4503.7,4609.8,NaN,4860.7,5004.1,5125.5,NaN,5299.7,5403.6,NaN,5658.1,5804.1,5930.2,NaN,6102.8,6207.7,NaN,6467.8,6612,6740.3,NaN,6921.7,7026.1,7206.2,7353.5,7494.2,NaN,7726.8,7873.1,8008.2,8185.2,8316.4,8422.8,NaN,8677.8,8825.9,8952.8,NaN,9137.3,9244.4,NaN,9501.3,9649.9,9784.8,NaN,9972.5,10090,NaN,10344,10493,10622,10841,10981,11093,NaN,11342,11493,11620,NaN,11804,11916,12123,12275,12418,NaN,12624,12765,12899,NaN,13078,13187,NaN,13448,13600,13729,NaN,13920,14027,NaN,14317,14467,14594,14812,14956,15087,NaN,15332,15488,15628,NaN,15812,15955,NaN,16202,16349,16481,NaN,16679,16810,17002,17173,17329,17469,NaN,17659,17805,17939,18183,18326,18436,18655,18822,18984,19149,NaN,19352,19499,19630,NaN,19823,19934,20158,20319,20468,NaN,20685,20838,20969,NaN,21163,21281,NaN,21556,21710,21861
