n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,d,g,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g
1983.6,2141.2,2285.2,2427.6,2572.5,2712.6,2823.7,NaN,3006.7,3142.8,3352.5,NaN,3432,3610.9,NaN,3800.8,3943.4,4095.9,NaN,4238.7,4429.1,NaN,4618.4,4759.7,4955.8,NaN,5049.8,5250.5,5392.4,5534.2,5662.9,NaN,5852.3,5994.4,6212.6,NaN,6291.2,6475.9,NaN,6670.4,6824,6979.3,NaN,7127.2,7323.5,7479.7,7595.1,7781.3,NaN,7977.5,8127.3,8349,NaN,8439.6,8619.3,NaN,8817.8,8968.5,9263.2,9403.8,9509.8,9684.5,NaN,9880.2,10023,10231,NaN,10331,10520,NaN,10712,10858,11016,NaN,11176,11373,NaN,11753,11896,12049,12189,12321,NaN,12512,12657,12832,NaN,12960,13150,NaN,13340,13490,13665,NaN,13809,14003,14158,14277,14464,NaN,14662,14820,15006,NaN,15130,15345,NaN,15548,15708,15865,NaN,16110,16265,16425,16571,16726,NaN,16928,17082,17251,NaN,17387,17587,NaN,17786,17950,18416,18562,18682,18872,NaN,19070,19229,19556,19699,19832,20022,NaN,20221,20378,20537,NaN
2018.3,2200.3,2355,2503.2,2645.6,2786.9,NaN,2950,3096.6,3221.6,NaN,3399.6,3502.2,NaN,3753.6,3900.2,4027.1,NaN,4202.5,4333.7,NaN,4573.5,4716.2,4841.9,NaN,5015.8,5123.1,5318.2,5463.8,5605.2,NaN,5805.2,5946,6079.1,NaN,6260,6363.5,NaN,6620.5,6768.2,6906.5,NaN,7088.5,7212.9,7393.8,7549.1,7681.8,NaN,7930.6,8080,8213.3,NaN,8410,8514.7,NaN,8768.1,8917.9,9052.9,9328.3,9475.5,9584.2,NaN,9832.8,9978.7,10134,NaN,10293,10407,NaN,10666,10815,10944,NaN,11131,11271,NaN,11527,11821,11978,12126,12265,NaN,12469,12622,12744,NaN,12928,13038,NaN,13308,13445,13578,NaN,13774,13885,14082,14230,14370,NaN,14616,14769,14907,NaN,15096,15208,NaN,15505,15631,15795,NaN,15981,16185,16346,16520,16652,NaN,16890,17025,17170,NaN,17354,17474,NaN,17736,17891,18036,18486,18640,18775,NaN,19022,19167,19318,19623,19774,19924,NaN,20173,20321,20491,NaN,20658
