n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f
2538.2,2648.7,3580.1,3742,3886.3,4020.7,4159.6,4294.7,4405,NaN,4589,4727.5,4934.9,NaN,5012.8,5191.8,NaN,5378.3,5519.8,5729.8,NaN,5812.1,5993.9,NaN,6178.8,6321.6,6538,NaN,6616,6803.5,NaN,6990.1,7132.6,7295.4,7440.6,7545.7,7731.4,NaN,7921.2,8060.3,8277,NaN,8356.9,8545.4,NaN,8735.2,8878.3,9089.4,NaN,9169.5,9373.4,NaN,9558.4,9705,9919.3,NaN,10003,10195,NaN,10384,10537,10741,10886,10986,11173,NaN,11363,11509,11728,NaN,11810,11994,NaN,12186,12344,12588,12731,12836,13026,NaN,13215,13371,13744,13885,14004,14182,NaN,14374,14525,14691,NaN,14851,15071,15222,15377,15519,15633,NaN,15826,15977,16206,NaN,16292
2609.2,2745.7,3625.8,3801.2,3954.6,4093.1,4231.5,4368.6,NaN,4546.2,4686.4,4807.9,NaN,4983.6,5088.3,NaN,5336.6,5477.4,5602,NaN,5777.6,5884.5,NaN,6134.3,6279.9,6403.3,NaN,6584.5,6690.8,NaN,6947.2,7093.8,7214.5,7373.6,7510.4,7640.2,NaN,7874.9,8021.7,8143.5,NaN,8328.7,8432,NaN,8688.2,8836.2,8961.6,NaN,9138.2,9248,NaN,9513.3,9659.4,9787.8,NaN,9969.3,10077,NaN,10338,10482,10625,10816,10956,11066,NaN,11319,11464,11593,NaN,11779,11883,NaN,12141,12287,12424,12666,12802,12913,NaN,13174,13320,13453,13814,13961,14097,NaN,14329,14477,14610,NaN,14807,14939,15137,15298,15454,15597,NaN,15782,15930,16065,NaN,16259,16373
