n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1808.5,1964.9,2110.4,2283,2443.9,2609.9,2770.7,2920.3,3032.4,NaN,3214.4,3365.1,3576.5,NaN,3657.9,3843.4,NaN,4037.7,4184.8,4405.5,NaN,4484.8,4680.5,NaN,4870.5,5015.1,5233.1,NaN,5314.6,5499.4,5654,5758,5945.9,NaN,6138.9,6291.7,6515.6,6660.6,6767.6,6948.2,NaN,7142.5,7296.6,7510.7,NaN,7596.5,7792.4,NaN,7989.1,8138.1,8359.5,NaN,8440.2,8635.1,NaN,8833.5,8979.2,9154.4,9310.6,9416.3,9598.4,NaN,9795.4,9944.5,10164,NaN,10249,10447,10609,10716,10926,NaN,11119,11267,11496,NaN,11579,11771,NaN,11968,12128,12373,12526,12632,12825,NaN,13020,13173,13389,NaN,13470,13688,13844,13969,14165,NaN,14364,14515
1849,2006.2,2170.8,2333.6,2496.1,2672.4,2845,2993.5,NaN,3166.9,3311.4,3447.8,NaN,3621.9,3727.8,NaN,3982.8,4131.5,4269.8,NaN,4455.3,4558,NaN,4823.5,4970.3,5097.2,NaN,5285.3,5391.1,5577,5726,5831.3,NaN,6089.2,6240.1,6374.8,6589,6734.9,6845.9,NaN,7094.4,7248.3,7383.1,NaN,7562.9,7674,NaN,7943.4,8089.8,8220.9,NaN,8411.6,8520.7,NaN,8783.4,8930.6,9064,9230.9,9383.7,9498.8,NaN,9747,9900.3,10028,NaN,10216,10330,10527,10683,10797,NaN,11073,11228,11356,NaN,11550,11661,NaN,11915,12070,12211,12452,12602,12715,NaN,12978,13123,13257,NaN,13440,13552,13761,13921,14065,NaN,14317,14468,14600
