n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
2091.2,2855.6,2996.2,3151.2,3391.5,3601.7,3776.2,3934.7,4084.8,4235.4,4358.1,NaN,4544,4689.6,4903.8,NaN,4988.1,5171.1,NaN,5366.4,5514,5727.2,NaN,5806.9,6000.5,6147.9,6250.8,6430.6,NaN,6626.6,6775.5,6985.8,NaN,7066.5,7261.2,NaN,7455.8,7603.6,7819.8,NaN,7904.2,8082.2,8235,8337.2,8518.9,NaN,8714.3,8862.1,9078.8,NaN,9159.7,9344.7,NaN,9542.6,9693,9916.3,NaN,9995.9,10200,10353,10462,10640,NaN,10836,10990,11221,NaN,11301,11489,NaN,11685,11835,12007,12160,12265,12454,NaN,12653,12807,13046,13190,13298,13486,NaN,13687,13839,14056,NaN,14137,14330,NaN,14529,14697,14914,NaN,15000,15214,15370,15508,15649,NaN,15848,16005,16231,NaN,16316,16524,NaN,16724,16877,17289,17437,17544,17730,NaN,17927,18080,18301,NaN,18385,18580,NaN,18779,18933,19161,NaN,19245,19483,19642,19756,19936,NaN,20138,20311,20574,20726,20835,21030,NaN,21233,21394,21614,NaN,21698,21906,NaN,22104,22260
2140.5,2888,3042,3192.4,3434.6,3646.1,3830.8,4005.8,4154.7,4311.8,NaN,4489.7,4626.5,4775,NaN,4950.3,5065.4,NaN,5321.7,5454.6,5596.7,NaN,5775,5879.5,6075.4,6216.8,6319.9,NaN,6580.4,6715.2,6854.8,NaN,7035,7140.3,NaN,7409.2,7546.6,7683.6,NaN,7869.5,7979.3,8160.6,8306.1,8407.7,NaN,8668.3,8808.5,8943.7,NaN,9128.6,9229.9,NaN,9494.1,9630.4,9776.6,NaN,9966,10069,10276,10427,10549,NaN,10788,10926,11073,NaN,11273,11374,NaN,11638,11777,11916,12085,12230,12339,NaN,12605,12750,12892,13123,13262,13390,NaN,13641,13782,13922,NaN,14107,14212,NaN,14483,14629,14782,NaN,14964,15081,15287,15449,15589,NaN,15803,15948,16089,NaN,16282,16393,NaN,16677,16819,16960,17358,17505,17614,NaN,17882,18028,18167,NaN,18352,18458,NaN,18732,18878,19017,NaN,19212,19325,19550,19717,19842,NaN,20088,20233,20393,20647,20799,20908,NaN,21187,21323,21479,NaN,21665,21779,NaN,22060,22202,22344
