n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
3468.9,3611.4,3853.8,4030.9,4183.7,4335.8,4495.8,NaN,4681.2,4830.5,5049.2,NaN,5130.1,5320.4,NaN,5513.5,5671.1,5819.9,NaN,5974.4,6161.1,6313.7,6417.5,6608.5,NaN,6802.7,6958.8,7140.7,7300.3,7406.6,7595.6,NaN,7793,7948.2,8111.4,NaN,8262,8459.5,NaN,8658.2,8805.2,9012.9,9167.4,9279.2,9474.4,NaN,9675.2,9830.6,9988.1,NaN,10145,10344,NaN,10541,10708,10939,11096,11209,11421,11573,11686,11894,NaN,12093,12250,12406,NaN,12566,12780,NaN,12982,13133,13406,13568,13673,13871,NaN,14072,14231
3502.5,3663.5,3898.9,4087.3,4253,4411,NaN,4634.3,4781.3,4915.9,NaN,5093.8,5229.3,NaN,5469.5,5615.7,5753.3,NaN,5937.8,6063.3,6235.8,6382.2,6513,NaN,6751.2,6906,7041.7,7220.7,7370.4,7507.6,NaN,7747.1,7899.2,8033.8,NaN,8226.9,8357.8,NaN,8610.1,8761,8893.5,9093.2,9239.4,9375.6,NaN,9624.1,9782.9,9924.7,NaN,10108,10237,NaN,10495,10640,10792,11015,11170,11307,11493,11648,11778,NaN,12046,12189,12338,NaN,12522,12662,NaN,12932,13086,13219,13457,13637,13747,NaN,14025,14175,14316
