n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
1995.1,2109.3,2841.6,2983.6,3123.9,3265.7,3400.3,3543.8,3658.6,NaN,3836.2,3972.7,4181.7,NaN,4260.5,4436.8,NaN,4623.7,4764,4960.9,NaN,5047,5238.5,NaN,5427,5565.5,5779.1,NaN,5894.8,6043.9,6191.7,6302.4,6483.6,NaN,6669.4,6809.9,7027.2,NaN,7110,7300.1,7448.8,7559.5,7751.1,NaN,7938.9,8084.3,8303.1,NaN,8385.9,8577.6,NaN,8766.2,8912.3,9140.2,9287.2,9396.7,9583.1,NaN,9777.9,9923.8,10140,NaN,10235,10420,NaN,10612,10760,11062,11209,11321,11502,NaN,11694,11842,12038,NaN,12140,12342,NaN,12535,12686,12912,13062,13175,13356,NaN,13550,13698,13849,14112,14262,14402,14518,NaN,14711,14861,15090,NaN,15174,15390,NaN,15575,15744,15907,NaN,16062,16294,NaN,16487,16636,16786,NaN,16951,17153,NaN,17349,17502,17725,NaN,17814,18019,NaN,18215,18377,18852,18988,19104,19284,NaN,19479,19646
2041.3,2262.4,2899.2,3044.5,3194.7,3339,3473.8,3615.7,NaN,3785.7,3934.9,4055.5,NaN,4231.2,4335.5,NaN,4577.6,4725.4,4846.4,NaN,5020.8,5120.5,NaN,5382.7,5528.8,5649.9,NaN,5826.7,5933.4,6119.2,6264.2,6399.6,NaN,6623.8,6770.8,6893.4,NaN,7075.7,7187.8,7378,7520.7,7630.5,NaN,7892.8,8040.8,8166.8,NaN,8353.7,8450.4,NaN,8721.9,8865.9,9005.5,9216.6,9359.7,9469.5,NaN,9732,9879.3,10006,NaN,10206,10308,NaN,10565,10718,10843,11139,11278,11393,NaN,11650,11798,11926,NaN,12103,12218,NaN,12491,12646,12776,12990,13132,13246,NaN,13502,13654,13782,13963,14181,14338,14476,NaN,14666,14820,14946,NaN,15141,15250,NaN,15522,15678,15824,NaN,16021,16158,NaN,16441,16591,16719,NaN,16902,17042,NaN,17300,17450,17590,NaN,17779,17889,NaN,18165,18300,18458,18916,19063,19188,NaN,19432,19584,19728
