n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
2169.7,2360,2516.4,2675.3,2821.1,2975.8,3130.7,3258.2,NaN,3446.1,3595.4,3808.6,NaN,3886.4,4080,NaN,4272.5,4420.3,4638,NaN,4719.8,4907.5,NaN,5102.6,5251.4,5473.5,NaN,5553.9,5745.2,NaN,5940.2,6089.4,6313.5,NaN,6397.1,6586.4,NaN,6782.1,6932.7,7156.7,NaN,7238.3,7431.2,NaN,7631.6,7781.3,7938.1,NaN,8089.3,8271.2,8422,8533,8721.3,NaN,8918.1,9071.5,9302.6,NaN,9383.9,9598.1,9751.1,9901,10047,NaN,10245,10396,10610,10759,10870,11063,NaN,11260,11414,11715,11866,11977,12161,NaN,12362,12513,12670,NaN,12826,13029,NaN,13228,13390
2204.9,2406.7,2568.5,2724.3,2888.1,3052.8,3204.9,NaN,3393,3545.2,3680,NaN,3855.8,3960.9,NaN,4220.5,4369.9,4503.9,NaN,4686.7,4795.3,NaN,5048.9,5199.2,5335.5,NaN,5522,5629.4,NaN,5890.1,6038.5,6172.1,NaN,6363.9,6471.8,NaN,6732.3,6884.8,7020.5,NaN,7207.7,7315.6,NaN,7578.3,7731.2,7864.6,NaN,8052.3,8183.2,8350.6,8496,8626.6,NaN,8872.3,9021.2,9159.2,NaN,9352.9,9457.4,9667.7,9825.6,9978.5,NaN,10198,10349,10481,10688,10835,10968,NaN,11212,11364,11502,11792,11941,12075,NaN,12314,12466,12599,NaN,12786,12924,NaN,13180,13334,13474
