n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1963,2508.3,2598.3,2824.4,2967.8,3109.9,3255.2,3351.7,NaN,3563.6,3706.8,3915.8,NaN,3997.2,4184.8,NaN,4376.3,4534.5,4884.9,5024.3,5130.2,5337.2,5488.9,5616.1,5811.4,NaN,6005.2,6164.5,6386.9,NaN,6469.5,6692.6,6844.3,6961.6,7157.2,NaN,7350.4,7497.4
2041.4,2553.7,2720.2,2897.8,3043.6,3184.6,3329.3,NaN,3509.7,3660.4,3789.8,NaN,3961.9,4067.4,NaN,4324.9,4469.8,4615.8,4951.6,5094.7,5201.6,5406.2,5564.2,5705.2,NaN,5960.6,6100,6249.8,NaN,6437.5,6543.1,6766,6920.5,7050.5,NaN,7307.9,7446.9,7580.1
