n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e
1994.7,2251.6,2410.8,2575.4,2737.7,2900.4,3048.8,3197.5,3343.3,3477.1,NaN,3662.1,3808.3,4022.4,NaN,4102.6,4292.9,NaN,4488.1,4636.9,4860.2,NaN,4941.1,5129.3,NaN,5326.8,5478.1,5695.9,NaN,5779.8,5963.7,6120,6222.4,6416.9,NaN,6616,6769.8,6982.5,NaN,7062.4,7266.8,7414.5,7521.2,7724.5,NaN,7920.8,8068.9,8285.9,NaN,8371.8,8569.3,NaN,8768.5,8936.2,9552.2,9690.6,9818.6,9994.8,NaN,10193,10354,10570,NaN,10651,10869,NaN,11064,11224,11445,NaN,11529,11717,NaN,11920,12082
2034,2302.4,2470.8,2631.3,2804.7,2974,3126.4,3273.9,3417.8,NaN,3615.7,3746.5,3892.8,NaN,4070.9,4172.5,NaN,4438.3,4578.2,4717.3,NaN,4909.3,5012.4,NaN,5274.4,5416,5562.9,NaN,5747.3,5851.8,6034,6189.8,6292.5,NaN,6561.3,6709.3,6857.8,NaN,7034.8,7135.1,7338.8,7488.9,7594.7,NaN,7874.4,8013.5,8152.9,NaN,8336.9,8444.8,NaN,8717.9,8862.9,9018.3,9619.9,9762.1,9909,NaN,10145,10281,10436,NaN,10621,10724,NaN,11016,11159,11305,NaN,11498,11598,NaN,11867,12003,12166
