n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,n,n,n,n,n,a,b,l,e,d,g,f,n,n,f,n,n,f,a,b,l,e
2496,2651.3,2939.1,3077.8,3220.8,3334,NaN,3512.6,3650.5,3857.8,NaN,3936.9,4110.5,NaN,4299.2,4444.2,4642,NaN,4732.2,4913.2,NaN,5104.7,5247.7,5466.1,NaN,5548.3,5741.1,NaN,5924.3,6071.9,6270.2,NaN,6364.6,6546.2,6693.5,6805,6991,NaN,7180.4,7326.8,7552.1,NaN,7632.6,7818.6,NaN,8012.7,8158.7,8384.5,NaN,8464.3,8667.4,8810.9,8959,9069.9,NaN,9255.1,9402.8,9605,NaN,9706.1,9887.3,NaN,10080,10232,10433,NaN,10532,10717,NaN,10912,11060,11286,11432,11543,11728,NaN,11925,12072,12287,NaN,12369,12570,NaN,12766,12926,13133,NaN,13226,13427,NaN,13624,13772,13996,14148,14254,14452,NaN,14642,14791,15013,NaN,15096,15293,NaN,15486,15647,15799,NaN,15957,16162,NaN,16358,16562,16710,16857,17009,17155,17290,NaN,17487,17633,17855,NaN,17941,18160,18317,18473,18704,18874,19000,19191,NaN,19385,19550
2550.7,2863.2,3003.5,3151.9,3292.3,NaN,3456.9,3611.5,3735.6,NaN,3906,4007.9,NaN,4255.3,4404.7,4526.9,NaN,4705.8,4808.4,NaN,5056.7,5206.4,5331.3,NaN,5516.3,5625,NaN,5878.4,6031.2,6155.4,NaN,6333.1,6439.2,6621.2,6766.1,6879.6,NaN,7133.8,7284.2,7408,NaN,7603.5,7711.2,NaN,7963.4,8114.7,8243.8,NaN,8431.2,8541.8,8737.7,8889.2,9030,NaN,9197.7,9357.3,9487.5,NaN,9673.9,9791.5,NaN,10034,10186,10318,NaN,10501,10610,NaN,10865,11017,11148,11365,11506,11623,NaN,11879,12028,12158,NaN,12334,12445,NaN,12720,12870,13011,NaN,13200,13309,NaN,13575,13727,13862,14076,14218,14325,NaN,14595,14746,14876,NaN,15063,15174,NaN,15441,15594,15733,NaN,15918,16056,NaN,16313,16441,16635,16789,16938,17087,17234,NaN,17440,17590,17718,NaN,17908,18021,18230,18393,18572,18772,18947,19099,NaN,19341,19490,19632
