n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,n,n,n,a,b,l,e
1989.2,2118,2271.5,2414.7,2557.2,2694.6,2809.7,NaN,2988.7,3128.2,3337.6,NaN,3416.3,3599.6,NaN,3789.7,3937.7,4150.4,NaN,4230.8,4416.4,NaN,4606.4,4745.7,4959.8,NaN,5039.4,5224.5,NaN,5413.7,5558.3,5771.2,NaN,5852.6,6026,6176.3,6279.9,6489.9,6652.1,6795.7,6922.4,NaN,7115.1,7274
2071.6,2175.2,2345,2491.9,2635.1,2770.4,NaN,2937.7,3088.8,3211.7,NaN,3388.2,3490,NaN,3742.1,3895.1,4022.9,NaN,4201.8,4305.3,NaN,4559.8,4720.6,4830.4,NaN,5005,5107.5,NaN,5365.6,5506.3,5642.7,NaN,5817.4,5922,6098.6,6244.6,6359.2,6561.5,6725.7,6868.7,NaN,7069,7215.7,7359.6
