l,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1998.9,2202.5,2357.5,2495.8,2636.4,2777.9,2914,3023.1,NaN,3206.3,3348.2,3556.9,NaN,3637.4,3831.5,NaN,4025.9,4168.2,4381.3,NaN,4460.4,4642.1,NaN,4837.1,4984.8,5201.4,NaN,5282.8,5482.1,NaN,5674.6,5826,6041.7,NaN,6126.4,6305.3,6457.9,6754.3,NaN,6947.3,7093.9,7314.8,NaN,7397.7,7584.5,NaN,7777.2,7927.4,8146,8292.3,8402.9,8585.2,NaN,8784.2,8934.5,9157.6,NaN,9238.3,9458.3,9615.3,9728.3,9915,NaN,10112,10262
2087.7,2257.7,2408.9,2560.1,2708.4,2849.4,2984.1,NaN,3147.2,3286.9,3426.5,NaN,3603.7,3701.3,NaN,3983.2,4125.3,4250.9,NaN,4432.7,4537.7,NaN,4792.8,4934.3,5068.8,NaN,5250,5360.2,NaN,5626.8,5771.2,5908.2,NaN,6091.6,6204.6,6376.8,6668.1,NaN,6903,7052,7178.6,NaN,7365.4,7475.6,NaN,7728.2,7879,8012.3,8226,8364,8481.7,NaN,8732.2,8890.6,9018.5,NaN,9208.5,9319,9532.9,9689.5,9821.3,NaN,10066,10214,10347
