n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
3444.6,3619.5,3793.4,3937.1,4085,4228.9,4383.1,4525.7,4633.9,NaN,4823.2,4964.1,5173.2,NaN,5250.4,5433.8,NaN,5623,5771.5,5984.6,NaN,6068,6259.4,6411,6517.6,6720.9,NaN,6913.8,7064.8,7283.4,NaN,7365,7560.9,7719.6,7824.2,8022.8,NaN,8220.4,8373.7,8593.9,NaN,8672.3,8868.5,NaN,9063.4,9217.8,9369.9,NaN,9522.6,9722.6,NaN,9908.7,10064,10328,10469,10589,10771,NaN,10971,11127,11344,NaN,11425,11619,NaN,11811,11976,12291,12433,12536,12727,NaN,12922,13094
3492,3677.5,3843.1,4002,4159.8,4306.7,4458.6,4599.7,NaN,4769.7,4917.6,5045.7,NaN,5223.6,5320.6,NaN,5579.9,5716.8,5853.8,NaN,6034.4,6148.6,6336,6484.5,6596.8,NaN,6864,7016.1,7147.6,NaN,7333.8,7444.7,7642.9,7792.9,7903.4,NaN,8170.5,8321.2,8458.1,NaN,8642.2,8751.9,NaN,9010.4,9164.3,9302.4,NaN,9486.2,9611.6,NaN,9861.2,10012,10151,10381,10545,10679,NaN,10915,11072,11213,NaN,11393,11492,NaN,11762,11915,12059,12362,12504,12613,NaN,12875,13020,13177
