n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l
3172,3309.3,3458.4,3599.3,3739.4,3881.7,4020.2,NaN,4202.5,4343.6,4554,NaN,4633.6,4815.2,NaN,5002.9,5143.5,5343,NaN,5435.8,5630.7,NaN,5819.3,5962.8,6175.9,NaN,6253.8,6438.5,NaN,6629.6,6779.4,6992.5,NaN,7074.6,7259.2,NaN,7455,7600.3,7754.4,NaN,7899.5,8087.8,8236.7,8341.1,8527.8,NaN,8717.9,8869.6,9083.9,NaN,9166.1,9356.7,NaN,9552.9,9699.5,9884.3,10033,10136,10320,NaN,10514,10666,10878,NaN,10961,11151,NaN,11348,11496,11726,11875,11982,12164,NaN,12361,12508,12732,NaN,12811,13022,13180,13330,13445,NaN,13633,13785,14003,NaN,14086,14302,14464,14609,14748,NaN,14936,15084,15296,NaN,15392,15580,NaN,15780,15934,16164,NaN,16248,16472,16620,16760,16883,17064,NaN,17261,17414,17622,NaN,17719,17923,NaN,18120,18274,18926,19065,19209,19317,NaN,19510,19660,19874,NaN,19955,20152,NaN,20347,20499,20702,NaN,20804,20995,NaN,21196,21350,21590,NaN,21670,21885,22050,22174,22386,NaN,22584,22740,22950,NaN,23051,23243,NaN,23445,23613,23827,23979,24090,24290,NaN,24488
3248.9,3374.9,3527,3675.2,3817.8,3964.9,NaN,4148.2,4303.2,4426.3,NaN,4602.4,4705.1,NaN,4959.8,5101.8,5224.4,NaN,5403.6,5503.6,NaN,5774.3,5913.5,6043.6,NaN,6224.8,6320.2,NaN,6583.1,6720.8,6858.8,NaN,7039.9,7142.8,NaN,7404.2,7545.8,7681.1,NaN,7864.1,7986.9,8160.9,8306.6,8414.2,NaN,8671.4,8813.3,8952.5,NaN,9132.6,9235.6,NaN,9504,9650.4,9780.3,9960.1,10104,10219,NaN,10468,10611,10746,NaN,10928,11036,NaN,11302,11440,11577,11804,11947,12068,NaN,12311,12462,12590,NaN,12783,12887,13093,13254,13403,NaN,13590,13729,13868,NaN,14052,14157,14372,14540,14685,NaN,14892,15032,15168,NaN,15359,15469,NaN,15733,15883,16019,NaN,16215,16335,16545,16696,16832,16972,NaN,17212,17366,17499,NaN,17686,17806,NaN,18073,18222,18356,18987,19143,19277,NaN,19454,19614,19747,NaN,19926,20027,NaN,20300,20441,20584,NaN,20770,20890,NaN,21144,21298,21435,NaN,21640,21748,21954,22123,22264,NaN,22533,22688,22825,NaN,23016,23122,NaN,23397,23549,23694,23906,24054,24183,NaN,24442,24547
