n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
2932.3,3071,3227.3,3375.8,3518,3630,NaN,3810.8,3951.6,4160.2,NaN,4241.7,4416.8,NaN,4606.9,4747.7,4956.8,NaN,5034.4,5216.3,NaN,5405.3,5550.1,5768.5,NaN,5849.6,6048.8,6198.5,6302.5,6485.1,NaN,6675.2,6821.2,7059.1,7202.4,7307.8,7489.8,NaN,7680.7,7828.7,8029,NaN,8129.3,8319.1,NaN,8511.8,8659.2,8874.7,NaN,8957.5,9154.1,NaN,9344.9,9494.8,9720.6,9866.9,9971.2,10162,NaN,10352,10508
2977.1,3129.8,3298.2,3452.4,3591.2,NaN,3756.5,3907.7,4033.4,NaN,4209.3,4309.7,NaN,4560.7,4702.7,4831.5,NaN,5004,5111.1,NaN,5357.3,5508.8,5637.1,NaN,5819.1,5925,6120.5,6268.9,6379.7,NaN,6630.4,6776.7,6902.9,7139.8,7272.5,7379.8,NaN,7635.7,7783.7,7916.4,NaN,8098.3,8202.3,NaN,8466.8,8616,8743.6,NaN,8922.6,9029.5,NaN,9294.9,9446.4,9580.4,9796,9941.5,10052,NaN,10309,10454,10591
