n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1976.5,2130.4,2292.3,2465.8,2667.8,2865,3031.3,3172.7,3350.7,3514,3657.4,3785.2,NaN,3978.6,4129.8,4351.3,NaN,4431.6,4618,NaN,4815.1,4964,5182.9,NaN,5264.3,5466.6,NaN,5656.8,5807.1,6029.8,NaN,6115,6305.6,NaN,6501.8,6655,6815.4,NaN,6968,7170.2,7325,7466.9,7601,NaN,7799.7,7949.8,8175.7,NaN,8262.1,8461.1,NaN,8661.3,8813.7,8977,NaN,9131.6,9327.6,9482.2,9603.8,9785.6,NaN,9988.5,10140,10368,NaN,10453,10664,10840,10985,11138,11254,NaN,11450,11607,11822,11979,12094,12298,NaN,12498,12656,12815,NaN,12977,13187,NaN,13388,13543,13782,NaN,13869,14076,14242,14401,14551,14698,14823,NaN,15027,15182,15411,NaN,15498,15719,15892,16013,16215,NaN,16420,16574,16749,NaN,16924,17148,17320,17441,17631,NaN,17833,18004,18273,18433,18543,18744,NaN,18946,19100,19258,NaN,19465,19655,19821,19943,20152,NaN,20356,20533
2013.1,2181.5,2342.7,2514,2712.8,2909.7,3071.6,3236.4,3416.2,3585.4,3735.4,NaN,3933.5,4087.5,4217.2,NaN,4397.2,4506.2,NaN,4766.3,4918.6,5047.9,NaN,5234.1,5337.3,NaN,5611.5,5764.8,5893.2,NaN,6078.6,6187.9,NaN,6454.6,6609.2,6742.8,NaN,6932.8,7067.9,7241.4,7403,7544.6,NaN,7753.9,7905.7,8037,NaN,8225.1,8339.4,NaN,8612.8,8761.3,8902.3,NaN,9096.2,9227.9,9407.3,9556.2,9700.3,NaN,9938,10094,10227,NaN,10418,10530,10740,10917,11065,11212,NaN,11402,11554,11700,11905,12056,12169,NaN,12451,12606,12747,NaN,12939,13074,NaN,13340,13495,13634,NaN,13835,13944,14150,14320,14483,14626,14778,NaN,14984,15134,15273,NaN,15464,15578,15792,15968,16120,NaN,16365,16529,16664,NaN,16872,17030,17220,17400,17539,NaN,17786,17941,18092,18348,18509,18623,NaN,18899,19038,19190,NaN,19382,19554,19732,19898,20043,NaN,20307,20460,20627
