n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,n,n,f,a,b,l,e,n
1984.9,2128.6,2332.7,2509,2661.9,2820.3,2972.4,3124.4,3243.8,NaN,3432.9,3583.8,3800.1,NaN,3884.2,4068.9,NaN,4263.5,4414.8,4630.7,NaN,4716.2,4896.5,5048.9,5157.8,5346.4,NaN,5541.7,5696.7,5923.8,6078.9,6187.2,6376.1,NaN,6575.7,6724.9,6950.5,NaN,7036.3,7244.5,NaN,7440.6,7610.3,7797,7952.1,8061.2,8257.2,NaN,8455.5,8622.8,8785.3,NaN,9064.8,9229.6,9343.4,9531.2,NaN,9731.5,9884.2,10046
2016.8,2177.9,2377.3,2564.1,2737.3,2896.6,3046.8,3202.6,NaN,3383.1,3518,3668.1,NaN,3850.6,3953.4,NaN,4219.7,4361,4497.4,NaN,4679.9,4789.6,4974.9,5120.2,5245,NaN,5493.8,5642.3,5786.9,6007.5,6153.4,6267.5,NaN,6527,6672.6,6810.2,NaN,7003,7109,NaN,7394.5,7540.2,7690.4,7876.2,8028.8,8134.6,NaN,8407.8,8537,8700.3,NaN,8896.8,9126.2,9306.9,9435,NaN,9685.6,9829.8,9966.7,10159
