n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1826.2,1982,2177.5,2359,2547.1,2691.3,2854.1,3005.9,3130.2,NaN,3316.2,3465,3677.6,NaN,3759.3,3948.4,NaN,4143.1,4288.6,4503.8,NaN,4585,4778.1,NaN,4970.2,5118.5,5341.9,NaN,5422.9,5619.6,NaN,5816,5961.8,6160.2,6311.6,6417.7,6602.8,NaN,6801.1,6951.5,7173.3,NaN,7255.6,7452.2,NaN,7647,7798.8,8018.7,NaN,8102.1,8295,8458.1,8566.8,8745.7,NaN,8945,9089,9316.8,NaN,9398.3,9601.8,NaN,9798.9,9951.1,10188,10341,10451,10641,NaN,10838,10988,11271,11424,11521,11726,NaN,11925,12078,12296,NaN,12379,12581,12738,12848,13053,NaN,13255,13407,13574,NaN,13727,13938,14092,14210,14399,NaN,14601,14751,14922,NaN,15067,15277,NaN,15476,15631,15857,NaN,15939,16148,16313,16427,16616,NaN,16819,16976
1858.4,2015.8,2227,2405.6,2592.4,2762.5,2927.2,3080.4,NaN,3270.1,3413.4,3549.2,NaN,3725.2,3832.5,NaN,4094.9,4245.7,4369.8,NaN,4556.9,4663.3,NaN,4925.4,5073.2,5204.6,NaN,5392.7,5494.8,NaN,5766.3,5919.9,6048.9,6240.8,6384.5,6496.1,NaN,6752.1,6904.5,7039.9,NaN,7223.7,7329.4,NaN,7602.1,7753,7883.9,NaN,8071.7,8182.8,8375.2,8530.1,8646.4,NaN,8899.3,9046.3,9177.4,NaN,9369.3,9478.4,NaN,9753.2,9897.9,10034,10269,10415,10550,NaN,10794,10942,11073,11349,11499,11671,NaN,11877,12025,12165,NaN,12346,12465,12656,12812,12945,NaN,13210,13355,13490,NaN,13684,13823,14013,14170,14311,NaN,14552,14697,14835,NaN,15031,15159,NaN,15428,15577,15715,NaN,15905,16011,16225,16387,16515,NaN,16770,16918,17058
