n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
1962.3,2117.2,2270,2423.8,2572.6,2729.4,2872.6,2972.4,NaN,3160.2,3305.7,3515.9,NaN,3594.8,3770.9,NaN,3962,4107.1,4321.3,NaN,4401.9,4586.7,NaN,4777.2,4932.2,5086.4,5242.3,5346.8,5530.7,NaN,5720.2,5869.2,6082.4,NaN,6162.4,6341,NaN,6537,6686.8,6904.9,NaN,6987.3,7159.7,7320.7,7432.8,7611.3,NaN,7805.5,7951.8,8178.2,8327.2,8436.1,8625.2,NaN,8816.9,8963.9,9140.1,9289.1,9401.4,9581.5,NaN,9775.7,9926.4,10144,10293,10400,10587,NaN,10777,10927,11141,NaN,11221,11414,NaN,11611,11761,11929,NaN,12082,12280,NaN,12476,12621,12874,NaN,12956,13145,NaN,13344,13612,13766,13907,14056,14164,NaN,14358,14506,14737,NaN,14819,15033,NaN,15230,15390
2013.4,2169,2323.3,2490.1,2649.5,2802.5,2941.8,NaN,3102.5,3260.4,3389,NaN,3560.2,3667.8,NaN,3918.2,4065.4,4190.5,NaN,4371.8,4482.7,NaN,4733.8,4878.8,5013.7,5167.1,5314.7,5422.6,NaN,5674.9,5824.2,5951.3,NaN,6133.5,6237.8,NaN,6489.3,6642.8,6773.3,NaN,6956.6,7066.6,7237,7400.4,7504.9,NaN,7757.8,7912,8036.2,8253.1,8400.8,8512.8,NaN,8766.7,8921.3,9050.8,9221.1,9363.9,9481.2,NaN,9732.8,9885.3,10010,10223,10367,10482,NaN,10737,10882,11016,NaN,11194,11297,NaN,11564,11714,11847,NaN,12046,12182,NaN,12429,12576,12709,NaN,12924,13038,NaN,13298,13427,13683,13845,13988,14135,NaN,14302,14466,14590,NaN,14791,14894,NaN,15186,15334,15474
