n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
1995.9,2148,2296.4,2448.7,2599.5,2716.9,NaN,2905.8,3052.7,3268.2,NaN,3346.7,3530.2,NaN,3725.3,3879.8,4032,NaN,4188.3,4370.1,4522.9,4628.1,4814.6,NaN,5014.6,5163.7,5385.7,NaN,5471.5,5667,NaN,5864.9,6020.8,6222.8,6373.5,6479.8,6670.9,NaN,6871.3,7030.1,7200.3,7355.1,7464.4,7648.3,NaN,7845.7,7995.5,8175.3,NaN,8308.6,8493.3,NaN,8695.7,8856.5,9087.4,NaN,9173,9363.9,NaN,9562.2,9723.6,9963.1,10120,10231,10439,NaN,10642,10804
2037.6,2205.5,2371.3,2525.7,2675,NaN,2857.3,2997.2,3132.8,NaN,3318.5,3417.7,NaN,3677.4,3819.1,3966.9,NaN,4149.9,4280.6,4446.5,4597,4701.4,NaN,4964.8,5110.2,5247.6,NaN,5438.7,5548.6,NaN,5818.1,5961.2,6105.9,6304,6447.4,6556.4,NaN,6823.7,6958.6,7113.2,7280.3,7428.2,7553.9,NaN,7800.3,7943.9,8079.2,NaN,8270,8407.6,NaN,8646.2,8801.1,8940.7,NaN,9140.4,9253.1,NaN,9517.2,9655.3,9805.5,10042,10193,10328,NaN,10592,10723,10885
