n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,a,b,l,n
2448.9,5935.4,6071.2,6205.4,6346.9,6486.8,6622.8,6737.4,NaN,6922.2,7059.6,7263.7,NaN,7340.9,7523,NaN,7705,7845.3,8050.8,NaN,8129.7,8310.2,NaN,8494.2,8637.4,8844.8,NaN,8925.6,9107.8,NaN,9293.2,9435.4,9648,NaN,9730.1,9912.4,NaN,10099,10244,10454,NaN,10533,10723,NaN,10913,11058,11221,11367,11471,11649,NaN,11840,11986,12132,NaN,12287,12492,12634,12752,12942,NaN,13136,13282,13434,NaN,13590,13794,13944,14066,14256,NaN,14451,14600,14750,NaN,14909,15096,15244,15354,15542,NaN,15734,15880,16024,NaN,16197,16395,NaN,16592,16747,16925,17074,17186,17387,NaN,17579,17725,17944,18090,18199,18385,NaN,18584,18749,18947,19084,19231,19359,NaN,19552,19708,19924,NaN,20011,20208,NaN,20406,20573
2570,5974.2,6125.9,6279.1,6423.4,6562,6700.1,NaN,6878,7020.2,7141,NaN,7312.8,7413.5,NaN,7662.2,7805.8,7925.2,NaN,8100.5,8205.6,NaN,8449.7,8596,8716.4,NaN,8894.5,9002.2,NaN,9247,9392.1,9518.9,NaN,9699.8,9811,NaN,10057,10201,10323,NaN,10505,10606,NaN,10863,11012,11138,11295,11439,11540,NaN,11792,11941,12067,NaN,12247,12380,12560,12709,12844,NaN,13088,13236,13364,NaN,13551,13676,13869,14020,14158,NaN,14403,14552,14683,NaN,14866,15002,15173,15317,15446,NaN,15685,15835,15960,NaN,16140,16292,NaN,16543,16694,16833,17003,17148,17282,NaN,17534,17681,17812,18023,18162,18298,NaN,18535,18682,18832,19002,19163,19313,NaN,19503,19655,19788,NaN,19975,20091,NaN,20354,20484,20611
