n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
1993.4,2126.3,2306.3,2455.2,2606.2,2766.3,2916,3063.5,NaN,3248.2,3394.6,3616.9,NaN,3699.8,3891.2,NaN,4093.7,4247.9,4466.2,NaN,4548.5,4748.1,NaN,4938.5,5091.6,5273.4,NaN,5402.7,5578.7,5733,5837.4,6032.8,NaN,6231.9,6388.8,6557.5,6719.3,6830.4,7024,NaN,7225.5,7381.4,7613.9,NaN,7697.2,7887.8,NaN,8086.5,8245.1,8513.9,8658.6,8774.8,8962.1,NaN,9161.7,9318.1,9706.5,9853.5,9993.2,10136,NaN,10333,10482,10642,NaN,10796,10991,NaN,11191,11353,11537,11704,11812,12015,NaN,12215,12373,12535,NaN,12689,12921,13085,13235,13404,13549,NaN,13750,13910,14132,NaN,14218,14414,NaN,14615,14807
2025.8,2176.7,2363.7,2530.4,2684.8,2844,2993.6,NaN,3199.1,3338.8,3482.7,NaN,3666.1,3774.2,NaN,4036.2,4194,4330.1,NaN,4517.7,4623.6,NaN,4888,5036.5,5173.1,NaN,5367.2,5492.2,5658.7,5805.4,5912.3,NaN,6176.3,6334,6469.7,6638,6795.1,6907,NaN,7171.8,7318.1,7471.3,NaN,7664,7772.7,NaN,8037.8,8184.6,8331.7,8564.8,8733.3,8863.3,NaN,9109,9265.5,9406.9,9772.8,9932.8,10076,NaN,10284,10434,10568,NaN,10761,10888,NaN,11138,11292,11437,11615,11780,11889,NaN,12165,12317,12458,NaN,12649,12780,12987,13164,13315,13481,NaN,13702,13853,14000,NaN,14185,14296,NaN,14560,14710,14881
