n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,n,n,f,a,b,l,e
1988.8,2154.5,2312.3,2463.7,2618.8,2764.9,2909,NaN,3093.5,3240.2,3454.4,NaN,3532.7,3721.3,NaN,3927.3,4079.4,4298.9,NaN,4380.8,4575.2,NaN,4771.9,4921.9,5137.7,NaN,5221.6,5420.8,NaN,5616.1,5772.9,5988.2,NaN,6075.6,6275.5,NaN,6473.9,6631.3,6865.6,7016.7,7120.3,7315.9,NaN,7513.3,7670.7,7881.6,NaN,7980.7,8196.4,NaN,8390.6,8570.7,8793.2,NaN,8878.5,9096.8,NaN,9298.1,9462.2,9646.1,9807.2,9917.6,10148,10323,10449,10635,NaN,10836,11001
2046.6,2208.4,2379.7,2540.5,2690.7,2841.4,NaN,3045.5,3191.5,3322.3,NaN,3504.9,3603.1,NaN,3866.2,4024,4163,NaN,4351.8,4455.2,NaN,4726.7,4872.8,5005.5,NaN,5187.9,5293.6,NaN,5567.2,5712.1,5856.1,NaN,6042.3,6149.9,NaN,6423.7,6571.5,6716.2,6937.6,7090.7,7206.1,NaN,7469.3,7615.8,7753.4,NaN,7949.5,8058.3,NaN,8339,8493.4,8651.1,NaN,8844.2,8957,NaN,9246.9,9404.2,9548.3,9721.8,9882.3,9996,10211,10399,10541,NaN,10786,10928,11085
