n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
2114.3,2264.9,2418.6,2556.1,2700.7,2820.5,NaN,3008.2,3148,3360.4,NaN,3438.2,3624.7,NaN,3816.8,3959.4,4174.1,NaN,4255.6,4448.5,NaN,4642.3,4794.2,4943,NaN,5094.5,5280.6,NaN,5471.6,5617.8,5835.4,NaN,5917.6,6109.6,6267.3,6377.7,6567.5,NaN,6761,6909.9,7136.1,NaN,7220.2,7416.2,NaN,7611.5,7761,7972.4,8121.9,8233.6,8419.7,NaN,8616.8,8767.3,8922.5,NaN,9077,9290,9446.7,9602.9,9748.7,9866.2,NaN,10061,10216,10439,NaN,10522,10726,NaN,10923,11088
2175,2339.2,2493.3,2629.4,2777.7,NaN,2967.1,3108.5,3234.9,NaN,3410.3,3511.3,NaN,3770,3919.9,4048.2,NaN,4225,4334.5,NaN,4594.8,4749,4881.3,NaN,5057.8,5187.1,NaN,5422,5573,5704.4,NaN,5886.3,5995.1,6216.3,6340.1,6477.2,NaN,6714.9,6867.8,6997.6,NaN,7186.4,7292.6,NaN,7565,7714,7849.1,8052.8,8194.7,8309.7,NaN,8568.2,8726.4,8853.5,NaN,9040.8,9171.8,9361.4,9524.3,9679.7,9826.5,NaN,10017,10170,10302,NaN,10491,10598,NaN,10880,11029,11172
