n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
3205.6,3336.6,3461.9,3598.8,3751.1,3896.9,4038.5,4147.1,NaN,4336.4,4466.8,4671.3,NaN,4750.3,4926.7,NaN,5114.8,5255,5450.3,NaN,5544.6,5728.3,NaN,5914,6053.2,6231.7,6374.2,6482,6663,NaN,6852.2,6996.6,7209.8,NaN,7289.9,7470.2,NaN,7660.5,7805.8,8004.1,NaN,8104.5,8294.7,8439.5,8543.8,8718.8,NaN,8910.5,9052,9298,9442.5,9545.6,9723.7,NaN,9913.3,10059,10276,NaN,10358,10549,NaN,10742,10890,11111,NaN,11199,11388,NaN,11579,11723,12031,12168,12272,12455,NaN,12646,12799,13062,13206,13306,13490,NaN,13682,13830,14044,NaN,14123,14318,NaN,14510,14664,15028,15168,15274,15458,NaN,15651,15796,16012,NaN,16090,16275,NaN,16469,16624,16870,17000,17111,17295,NaN,17490,17641,17802,NaN,17954,18175,18326,18442,18629,NaN,18825,18988
3284.8,3380.6,3516.6,3661.7,3812.7,3969.7,4107.1,NaN,4272.2,4406.2,4543.9,NaN,4721.8,4829.5,NaN,5071.5,5216.4,5336.9,NaN,5515.1,5621.4,NaN,5870.9,6013,6137.5,6307.8,6447.4,6557.7,NaN,6808.9,6952.8,7079.6,NaN,7258.8,7368.9,NaN,7614.7,7761.4,7888.8,NaN,8076.4,8183.3,8370.2,8510.9,8622.1,NaN,8865.5,9014,9137.1,9373.9,9513.5,9626.3,NaN,9868.1,10014,10140,NaN,10327,10440,NaN,10696,10846,10974,NaN,11163,11276,NaN,11534,11678,11808,12100,12241,12354,NaN,12603,12751,12885,13127,13274,13389,NaN,13640,13784,13917,NaN,14096,14205,NaN,14466,14617,14746,15094,15241,15356,NaN,15605,15748,15877,NaN,16061,16171,NaN,16427,16571,16711,16924,17076,17192,NaN,17444,17596,17724,NaN,17916,18049,18242,18404,18543,NaN,18780,18931,19074
