n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
1982.2,2102.1,2284.5,2447.5,2622.9,2774.6,2913.1,3058.2,3205.3,3306.7,NaN,3490.4,3633.5,3840.3,NaN,3920.4,4104.2,NaN,4293.8,4438.1,4650.9,NaN,4729.6,4914.7,NaN,5100.4,5243.7,5459.1,NaN,5540.1,5736.3,5886.2,6029,6171.6,6273.1,NaN,6459.8,6607.8,6820.3,NaN,6902.1,7082.2,7231.2,7332.7,7503,NaN,7694.6,7838.5,8058.5,NaN,8142.3,8350.3,8501.6,8614.7,8789.9,NaN,8980.4,9130.3,9346.8,NaN,9430.3,9630.7,9776.9,9891,10077,NaN,10267,10420,10645,10789,10902,11053,NaN,11280,11426,11649,NaN,11733,11933,12091,12211,12404,NaN,12597,12744
2012.5,2152.8,2348.2,2517.1,2692.4,2848.7,2992.5,3132.8,3275.4,NaN,3442.7,3589.8,3720.3,NaN,3884.6,3992.5,NaN,4250.3,4400.9,4520.5,NaN,4699.7,4804.7,NaN,5060.1,5202.6,5326.3,NaN,5508.8,5615.3,5809.1,5962.8,6107.5,6242.8,NaN,6407.8,6560.1,6693.6,NaN,6870.8,6975.5,7159.4,7298.2,7406.8,NaN,7648.2,7790.4,7921.3,NaN,8111.5,8215.7,8426,8578.1,8711.3,NaN,8935,9082.6,9216.2,NaN,9399.3,9510.6,9705.3,9849.1,9989,NaN,10226,10370,10504,10699,10861,10981,NaN,11237,11384,11512,NaN,11699,11816,12010,12168,12309,NaN,12554,12700,12828
