n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f
1972.2,2115.8,2259.2,2409.5,2543.8,2662.8,NaN,2852.9,2996,3203.4,NaN,3284.6,3466.2,NaN,3662.3,3816.8,4032.6,NaN,4112.5,4304.7,NaN,4494.5,4637.2,4844.5,NaN,4935.4,5119.5,5269.2,5372.2,5555.2,NaN,5752.6,5912.2,6141.7,6286.6,6400.2,6608.8,NaN,6803.5,6952.1,7107.3,NaN,7259,7456.2,NaN,7657,7819.6,8078.1,8222.1,8330.7,8519.8,NaN,8715.5,8882.2,9036.4,NaN,9193.1,9420.7,9576.6,9717.3,9860.8,9985.8,NaN,10183,10339,10551,NaN,10651,10873,NaN,11070,11231,11526,11834,11976,12100,12282,NaN,12482,12634,12861,NaN,12945,13176,13342,13473,13666,NaN,13867,14030,14195,NaN,14340
2045,2164.8,2323.9,2486.6,2618.8,NaN,2803.8,2945.6,3076.1,NaN,3252.2,3353.9,NaN,3615.1,3767.1,3905.9,NaN,4084.8,4189.7,NaN,4447.4,4592.2,4720.5,NaN,4906.7,5008.3,5194,5337.7,5444.6,NaN,5700.7,5848.2,5993.3,6215.7,6361.1,6488.2,NaN,6756.4,6901.2,7037.2,NaN,7221,7349.2,NaN,7607,7758.2,7898.8,8119.5,8294.8,8423.2,NaN,8670.4,8816.3,8966.2,NaN,9147.2,9282.8,9487.9,9650.8,9794.1,9940.6,NaN,10138,10284,10424,NaN,10614,10737,NaN,11022,11165,11317,11580,11909,12053,12190,NaN,12434,12584,12720,NaN,12911,13028,13246,13416,13561,NaN,13819,13962,14114,NaN,14304,14434
