n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e
1810.6,1974.1,2150.2,2342.4,2583.4,2735.1,2888.8,3034.1,3151.4,NaN,3345.4,3493.5,3706.1,NaN,3784.5,3979.2,NaN,4136,4332.2,4538.4,NaN,4617.7,4815.8,4965.3,5071.3,5265.9,NaN,5459.6,5613.8,5829.1,NaN,5912.5,6102.8,NaN,6299.2,6455.4,6622.6,6772.7,6881,7083.4,NaN,7276.9,7427.3,7650.9,NaN,7735.4,7929.3,NaN,8128.4,8303.2,8505.6,8661.5,8774.2,8986.9,NaN,9182.4,9332.9,9553.8,NaN,9639,9836.6,NaN,10036,10191,10427,NaN,10511,10725,NaN,10924,11078
1848.2,2024.2,2203.8,2389.8,2643.7,2812.6,2963.6,3114.6,NaN,3299.9,3451.6,3577.4,NaN,3758.7,3858.8,NaN,4117.1,4265.9,4409.3,NaN,4589.7,4694.2,4890.3,5035,5142.3,NaN,5414.8,5547.2,5696.2,NaN,5879.3,5980.4,NaN,6251.7,6394.5,6537.1,6696.2,6844.2,6950.8,NaN,7226.2,7379.4,7512,NaN,7701.2,7804.7,NaN,8079.4,8221.5,8382.4,8586.9,8734.8,8869.8,NaN,9133.7,9279.5,9415.6,NaN,9604.8,9710.6,NaN,9988.5,10132,10272,NaN,10478,10585,NaN,10873,11018,11159
