n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,n,n,n,a,b,l,e
3879.5,4016.4,4168.2,4309.6,4451.3,4596,4706.3,NaN,4889.1,5030.7,5238.9,NaN,5316.7,5500.4,NaN,5687.1,5827.2,6039.2,NaN,6117.4,6311.1,NaN,6501.2,6645.6,6847,NaN,6941,7134,NaN,7327.5,7478.9,7685,NaN,7764.9,7972.6,8129.3,8240.8,8417.9,NaN,8610.6,8754.7,8915.2,NaN,9060.1,9276.4,9432.8,9540.1,9763,9909.5,10062,10164,NaN,10354,10503
3916.8,4073.4,4235.5,4383,4523.8,4667.2,NaN,4831.9,4986.1,5115.3,NaN,5286.3,5386.2,NaN,5642.4,5780.8,5908.6,NaN,6088.7,6191.9,NaN,6455,6595.7,6729.6,NaN,6908.2,7015.8,NaN,7278.4,7420,7558.3,NaN,7736.6,7839.7,8037.1,8203,8327.3,NaN,8564.5,8702.2,8835.1,NaN,9022.5,9149.2,9345.5,9503.2,9630.2,9825.3,9984.5,10133,NaN,10300,10445,10585
