n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e
1983.1,2118.3,2278.7,2433,2598.5,2759.1,2914.1,3055.5,3168.1,NaN,3352.4,3495.1,3707.2,NaN,3786.4,3970.4,NaN,4165.9,4317.4,4533.2,NaN,4615.4,4796.9,NaN,4991.6,5145.8,5343.4,5496.5,5595.8,5784.8,NaN,5981.1,6138.1,6350,NaN,6434.1,6620.5,NaN,6817.7,6969.8,7177.9,NaN,7271.3,7468.2,NaN,7669.4,7826.7,8048.1,NaN,8137.5,8349.1,NaN,8540,8688.9,8914.3,NaN,8998.8,9218,9373.8,9491.2,9716.4,9865.9,10023,10119,NaN,10322,10476,10698,NaN,10782,10988,NaN,11188,11350
2015.7,2178.8,2336.1,2489.6,2660.3,2836.7,2990.6,3130,NaN,3300.1,3445.7,3574.5,NaN,3754,3856.4,NaN,4117.4,4260.4,4400.5,NaN,4582.1,4687.2,NaN,4945.6,5085.8,5226.4,5414.5,5564.2,5671.9,NaN,5931.2,6076.2,6220.8,NaN,6400,6505.4,NaN,6764.1,6919.1,7052,NaN,7237.5,7337.4,NaN,7617.8,7760,7905.7,NaN,8097.6,8227.1,NaN,8483.2,8632.7,8769.2,NaN,8963.8,9090.5,9292.1,9451.8,9585.9,9786.1,9944.1,10089,NaN,10260,10422,10559,NaN,10746,10855,NaN,11140,11274,11431
