n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e
1991.6,2136.1,2292.5,2460.8,2629.7,2794.4,2949.9,3112.5,3217.2,NaN,3405.8,3552.5,3766.1,NaN,3847.9,4036.2,NaN,4233.7,4385.9,4610.7,NaN,4695.3,4893.7,NaN,5091.3,5238,5443.7,5593.2,5697.5,5900.2,NaN,6089,6240.9,6436.9,6590.1,6699.3,6908.8,NaN,7099.2,7255.2,7412.5,NaN,7558,7755.1,NaN,7952.1,8109.8,8329.2,8475.8,8589.8,8797,8949.4,9068.9,9256.7,NaN,9454.6,9607.3,9896.8,10042,10147,10337,NaN,10537,10688,10856,NaN,11002,11212,11368,11517,11634,NaN,11829,11981,12200,NaN,12283,12503,NaN,12707,12865
2037.2,2190.8,2347,2521.9,2682.2,2853.3,3028.1,3182,NaN,3353.4,3497,3630.3,NaN,3813.8,3912.6,NaN,4180.3,4321,4463.8,NaN,4658.4,4784.6,NaN,5039.5,5177.2,5316.3,5519.8,5663.1,5765.1,NaN,6038.7,6178.9,6321.5,6511.3,6663.5,6786.8,NaN,7044.8,7184.8,7334.5,NaN,7521.5,7649.9,NaN,7901.1,8053.9,8194.4,8406.9,8556.2,8655.8,8870.2,9024.6,9160.4,NaN,9406.2,9547,9692.9,9969.5,10116,10217,NaN,10489,10633,10771,NaN,10965,11088,11289,11446,11596,NaN,11783,11926,12064,NaN,12250,12348,NaN,12659,12806,12948
