n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
3478.7,3607.3,3932.6,4092.9,4259.2,4417.8,4572.8,4724.3,4873.7,5022.5,5147.6,NaN,5332.1,5481.4,5697.7,NaN,5779.8,5972.3,NaN,6170.1,6315.1,6534.9,NaN,6615.3,6814.5,NaN,6975.5,7162.3,7375,NaN,7455.9,7642.6,NaN,7840.4,7988,8170.9,8317.5,8421.4,8605.1,NaN,8798.1,8952.8,9164,9313,9417.4,9598.6,NaN,9795.3,9947.2,10162,NaN,10243,10432,NaN,10631,10783,11009,NaN,11092,11297,11441,11543,11731,NaN,11929,12076,12233,NaN,12385,12567,NaN,12765,12918,13141,NaN,13226,13426,NaN,13623,13774,14326,14464,14566,14751,NaN,14949,15110,15322,NaN,15404,15609,NaN,15808,15988,16204,16353,16468,16669,NaN,16867,17020,17237,NaN,17321,17525,NaN,17728,17893
3523.1,3872.9,4002.3,4155.1,4314.8,4479.5,4642.9,4803.1,4954.9,5100,NaN,5277.4,5435.6,5564.8,NaN,5746.5,5854.1,NaN,6125.3,6274.6,6408.2,NaN,6586.3,6686,NaN,6940,7049.8,7240.7,NaN,7424.1,7523.5,NaN,7791.4,7927.9,8070.1,8245.3,8389.5,8492.5,NaN,8748.8,8885,9032.7,9239.4,9382.2,9489.5,NaN,9748.5,9887.7,10031,NaN,10212,10315,NaN,10581,10734,10865,NaN,11057,11162,11370,11509,11616,NaN,11880,12027,12162,NaN,12350,12471,NaN,12718,12858,13002,NaN,13192,13295,NaN,13575,13721,13861,14398,14532,14639,NaN,14901,15046,15192,NaN,15375,15477,NaN,15757,15897,16069,16278,16431,16565,NaN,16820,16964,17102,NaN,17289,17397,NaN,17681,17828,17978
