n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1991.7,2125.5,2308.8,2472.1,2624.3,2779.2,2933.9,3093.9,3253.6,3405.6,3523.5,NaN,3710.6,3858.9,4073.6,NaN,4158.6,4343.2,NaN,4544.2,4693.6,4919.9,NaN,4994.8,5203.2,NaN,5400.5,5556.6,5786.6,NaN,5870.4,6069.4,NaN,6269.7,6419.1,6641.3,NaN,6727.3,6927.5,NaN,7127.2,7286.2,7491.1,7646.1,7756.1,7950.3,NaN,8150.8,8305.3,8528.2,NaN,8613,8818.5,NaN,9018.1,9181.6,9379.3,9550,9700.6,9846.3,9974.8,NaN,10166,10327,10557,NaN,10642,10837,NaN,11038,11195,11404,NaN,11528,11737,11897,12012,12204,NaN,12408,12559,12718,NaN,12873,13083,NaN,13286,13454
2028.4,2173.2,2354,2536.2,2698.1,2856.8,3011.6,3175.2,3332.6,3479.9,NaN,3651.4,3811.4,3939.2,NaN,4124,4231.8,NaN,4490.8,4641.4,4779.3,NaN,4972,5111.6,NaN,5349.5,5497.4,5642.4,NaN,5838.9,5949.1,NaN,6218.4,6369.3,6504.7,NaN,6693.5,6804.4,NaN,7075.9,7231.9,7374.7,7572.2,7721,7852.1,NaN,8098.8,8249.8,8393,NaN,8578.4,8688.4,NaN,8970.9,9122,9269.6,9463.7,9625.7,9776.7,9926.6,NaN,10118,10274,10415,NaN,10612,10718,NaN,10990,11146,11282,NaN,11474,11616,11814,11975,12104,NaN,12360,12498,12648,NaN,12837,12967,NaN,13234,13369,13541
