n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1984.2,2579.1,2769.5,2927.8,3202.5,3846.7,4024.2,4179.4,4371,4554.8,4732.6,4925.2,5093.1,5908.1,6109.2,6262.9,6762,6904.6,7046.9,7187.9,7295.8,NaN,7487.1,7627.7,7844.3,NaN,7923.9,8099,NaN,8291.3,8440.9,8589.3,NaN,8738.4,8922.7,NaN,9118.9,9265.4,9418.1,NaN,9566.9,9794.2,9947.4,10052,10234,NaN,10426,10573,10793,NaN,10876,11054,NaN,11250,11401,11566,11723,11829,12014,NaN,12207,12362,12597,NaN,12680,12873,NaN,13070,13226,13399,13548,13659,13844,NaN,14039,14193,14414,NaN,14497,14686,NaN,14884,15045,15198,NaN,15349,15545,15722,15830,16019,NaN,16215,16366,16623,16772,16885,17099,17257,17397,17586,NaN,17787,17942,18093,NaN,18240,18450,NaN,18651,18807,19022,19177,19287,19484,NaN,19681,19847,20072,NaN,20155,20373,NaN,20574,20730
2023.2,2617.8,2813.5,2976.2,3252.3,3889.9,4083,4236.9,4417.8,4606,4795.7,4992.8,5162.1,6001.3,6197.4,6338.8,6822.7,6974.5,7117.1,7259,NaN,7440.8,7587,7713.4,NaN,7892.5,7988.7,NaN,8234.8,8393.6,8524.1,NaN,8701.9,8836.7,NaN,9068.4,9216.8,9350.6,NaN,9528.5,9659.4,9862.2,10015,10123,NaN,10381,10527,10660,NaN,10841,10955,NaN,11203,11357,11489,11645,11788,11902,NaN,12160,12317,12447,NaN,12647,12750,NaN,13015,13176,13313,13479,13620,13736,NaN,13989,14143,14282,NaN,14463,14578,NaN,14838,14986,15130,NaN,15309,15444,15620,15796,15905,NaN,16170,16321,16451,16695,16848,16981,17174,17331,17496,NaN,17737,17889,18030,NaN,18204,18337,NaN,18603,18753,18893,19104,19251,19383,NaN,19627,19783,19931,NaN,20124,20232,NaN,20532,20679,20817
