n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e
2246.8,2404.2,2546.2,2693.9,2832.3,2940.3,NaN,3121.1,3263.9,3472.7,NaN,3556.3,3732,NaN,3923.6,4069.5,4280.8,NaN,4362.6,4552,NaN,4746.1,4899.9,5099.8,NaN,5197.2,5378.8,NaN,5569.4,5717.2,5945.3,NaN,6024.2,6216.8,6361,6467.7,6647.8,NaN,6835.9,6985.3,7180.8,NaN,7281.3,7466.9,NaN,7657.9,7804,8010.7,8154.7,8257,8438.5,NaN,8627.1,8775.4,8971.8,NaN,9070.2,9256.1,NaN,9446.1,9593.9,9800.9,NaN,9900.4,10105,NaN,10294,10443,10603,10754,10857,11054,NaN,11247,11393,11635,11775,11877,12070,NaN,12261,12407,12608,NaN,12708,12902,NaN,13095,13250,13457,NaN,13554,13763,NaN,13955,14130
2285.4,2466.1,2618.5,2770.7,2905.8,NaN,3066.8,3222,3351.8,NaN,3523.1,3625.8,NaN,3878.1,4027.7,4154.8,NaN,4331.8,4445.2,NaN,4701.8,4846.3,4982.9,NaN,5165.5,5273.2,NaN,5525.3,5669.3,5803.1,NaN,5994.6,6107.8,6292.2,6427,6545,NaN,6793.1,6937.5,7068.8,NaN,7249.7,7359.6,NaN,7616.4,7760.6,7893.7,8087.6,8228.5,8338.9,NaN,8584.6,8732.8,8864.2,NaN,9038.1,9149.1,NaN,9404.1,9548.6,9682.2,NaN,9867.3,9980.9,NaN,10248,10396,10528,10681,10826,10939,NaN,11201,11351,11479,11704,11845,11960,NaN,12219,12366,12492,NaN,12679,12788,NaN,13050,13204,13335,NaN,13523,13636,NaN,13911,14045,14211
