n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,n,n,n,a,b,l,e
1982.6,2460.7,2943.9,3100.1,3261.2,3400.7,3544.3,3687.4,3814.3,NaN,3997.9,4141.6,4352.8,NaN,4430.9,4608.7,NaN,4800,4946.7,5155.4,NaN,5236.4,5427.7,NaN,5620.5,5768.1,5984.3,NaN,6065.8,6263.7,6381.6,6512.1,6637.7,6812,NaN,7004.3,7154.8,7349.4,NaN,7455.7,7637.7,NaN,7831.3,7978.8,8183.8,8334.3,8437.2,8622,NaN,8816.1,8960.8,9181.9,NaN,9269.2,9450.4,9598,9709.6,9897.5,NaN,10092,10245,10448,NaN,10547,10746,NaN,10940,11092,11316,NaN,11403,11587,11737,11844,12045,NaN,12240,12382,12599,12748,12857,13043,NaN,13238,13389,13590,NaN,13695,13893,NaN,14091,14248,14580,14723,14833,15020,NaN,15217,15371,15538,NaN,15695,15910,16062,16207,16361,16472,NaN,16665,16824,17049,NaN,17131,17334,NaN,17532,17693,17960,18109,18222,18412,NaN,18618,18984,19130,19267,19412,NaN,19609,19760,19918,NaN,20098,20295,NaN,20499,20670,21263,21401,21560,21710,21854,21977,NaN,22174,22333
2022.2,2497.8,2989.5,3165.8,3331.4,3476.5,3620.2,3763.9,NaN,3951.8,4103.6,4228.2,NaN,4403.4,4509,NaN,4757.1,4905.4,5028.1,NaN,5204.3,5316.9,NaN,5574.2,5722.7,5856.5,NaN,6037.5,6144.6,6302.5,6438.3,6592.4,6741.1,NaN,6962.6,7111,7241.5,NaN,7425.3,7535.2,NaN,7787.7,7938.6,8066.8,8263.2,8408.5,8517.6,NaN,8771.1,8919.4,9049.5,NaN,9234.8,9345,9528.5,9674.1,9815,NaN,10046,10196,10333,NaN,10518,10622,NaN,10894,11049,11180,NaN,11366,11483,11664,11809,11940,NaN,12193,12333,12470,12674,12824,12943,NaN,13194,13345,13479,NaN,13666,13775,NaN,14045,14195,14335,14651,14797,14914,NaN,15172,15327,15460,NaN,15659,15792,15982,16138,16289,16440,NaN,16603,16771,16911,NaN,17101,17213,NaN,17485,17635,17780,18033,18185,18321,NaN,18565,18709,19052,19206,19349,NaN,19565,19714,19849,NaN,20039,20197,NaN,20451,20604,20760,21325,21481,21640,21789,21933,NaN,22130,22278,22422
