n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,n,n,n,n,n,a,b,l
3386.6,3558.8,3708.9,3854.2,3986.4,4123.6,4235,NaN,4413.3,4552.3,4757.4,NaN,4835.3,5011.2,NaN,5201.7,5340.4,5548.9,NaN,5630.1,5811.1,NaN,5998,6139.4,6351.9,NaN,6428.8,6629.5,6773.2,6885.2,7061.9,NaN,7251.6,7399.5,7604.6,7751.5,7855.5,8041.7,NaN,8229.3,8370.2,8600.1,NaN,8679.8,8861.5,NaN,9053.5,9198.9,9410.2,NaN,9488.5,9693.1,9841.8,9951.7,10130,NaN,10324,10468,10616,NaN,10872,11032,11210,11360,11511,11620,NaN,11812
3449.2,3615.4,3776.4,3923.8,4060.2,4196.8,NaN,4369.8,4511.6,4631.5,NaN,4803.3,4910.2,NaN,5151.8,5298.3,5426.3,NaN,5593.4,5704.2,NaN,5949.2,6097.2,6222.3,NaN,6395.3,6506.8,6697.7,6844.7,6950.4,NaN,7203.8,7349,7480.9,7681.3,7819.6,7930.8,NaN,8186.9,8328.5,8459.9,NaN,8645.5,8755.2,NaN,9007.8,9155.4,9283.1,NaN,9456.9,9565.2,9763,9913.1,10026,NaN,10278,10423,10548,NaN,10726,10945,11105,11281,11439,11585,NaN,11753,11907
