n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
1981.3,2159.3,2299.6,2444.6,2585.5,2720.5,2862.9,2968.1,NaN,3152.4,3286.1,3492.7,NaN,3574.1,3760,NaN,3945.9,4095.3,4306.9,NaN,4385.5,4567.8,NaN,4756.6,4902.8,5215.3,5358.3,5469.5,5652.8,NaN,5842.5,5986.1,6190.2,NaN,6282.4,6472.7,NaN,6659.9,6808.7,7016.8,NaN,7145.2,7296.8,NaN,7488.2,7643.1,7851,8004,8111.6,8296.9,NaN,8700.6,9155.3,9292.3,9437.8,9573.4,9675.9,NaN,9866.1,10010,10223,NaN,10302,10490,NaN,10682,10830,10986,NaN,11131,11319,NaN,11512,11661,11886,12031,12136,12321,NaN,12514,12665,12883,NaN,12966,13156,NaN,13349,13507,13670,13822,13939,14122,NaN,14315,14469,14679,NaN,14770,14994,15149,15297,15439,NaN,15634,15790,16254,16391,16503,16686,NaN,16885,17051,17260,NaN,17342,17546,NaN,17746,17911,18103,18256,18366,18569,NaN,18766,19087,19233,19381,19530,19668,NaN,19865,20012,20167,NaN,20313,20504,NaN,20699,20854
2021.4,2211.5,2363.6,2513.5,2655.5,2794.8,2931.1,NaN,3097.4,3239.2,3366,NaN,3537.1,3634.2,NaN,3892.7,4039.7,4181.6,NaN,4354.5,4451.8,NaN,4709.3,4862.3,4988.9,5284.4,5431.5,5544.5,NaN,5794.1,5943.3,6070.4,NaN,6247.4,6351.8,NaN,6612.2,6763.9,6892.7,NaN,7076.5,7179,NaN,7443.3,7589.3,7726.6,7925.2,8075.9,8203.3,NaN,8543.1,9042.7,9217.4,9369.4,9509.8,9645.2,NaN,9811.5,9960.6,10092,NaN,10270,10371,NaN,10635,10772,10910,NaN,11096,11217,NaN,11466,11608,11743,11959,12103,12207,NaN,12465,12611,12745,NaN,12934,13037,NaN,13298,13447,13591,13735,13896,14027,NaN,14263,14407,14549,NaN,14738,14844,15059,15225,15376,NaN,15585,15732,15873,16322,16462,16594,NaN,16838,16981,17129,NaN,17311,17417,NaN,17684,17844,17992,18179,18330,18459,NaN,18712,18842,19152,19305,19457,19609,NaN,19810,19962,20097,NaN,20274,20404,NaN,20651,20803,20939
