n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f
1970.3,2176.7,2339.2,2494.1,2630.2,2791.6,2949.5,3100.4,3207.4,NaN,3397,3542.2,3757.2,NaN,3837.8,4022,NaN,4212.2,4359.6,4569.9,NaN,4653.3,4829,4977.6,5083.4,5261,NaN,5452.9,5604.8,5819,NaN,5898.2,6083.9,NaN,6277.8,6426.3,6638.5,NaN,6720,6906.6,NaN,7099.8,7250.2,7408.8,7561.4,7670.5,7853.3,NaN,8046.1,8192.2,8406.9,NaN,8488.1,8671.7,NaN,8867.9,9018.8,9192.5,9340.8,9448.2,9627.8,NaN,9825.1,9975.5,10193,NaN,10273,10457,10609,10715,10899,NaN,11094,11243,11463,NaN,11549,11730,11894,12004,12185,NaN,12382,12533,12757,NaN,12837,13028,NaN,13225,13393,13631,13780,13888,14075,NaN,14269,14417,14575,NaN,14727,14930,NaN,15124,15275,15501,NaN,15585,15776,15928,16039,16244,NaN,16442,16617,16800,16962,17071,17268,NaN,17467,17640,17883,NaN,17963,18191,18345,18467,18658,NaN,18859,19015,19239,NaN,19325
2014.8,2211.1,2378.3,2548,2690.1,2860,3024.8,3173.3,NaN,3334.4,3495.7,3624.1,NaN,3804.2,3904.7,NaN,4166,4314,4441.6,NaN,4617,4726.9,4908.7,5047.8,5170.9,NaN,5401.7,5559.5,5685.5,NaN,5868.5,5968.2,NaN,6232.9,6380.7,6509.6,NaN,6687.4,6788.4,NaN,7051.6,7200.3,7336.7,7488,7632.1,7758.9,NaN,7994.5,8145,8275.9,NaN,8456.9,8559.1,NaN,8820.7,8971.3,9101.8,9271.4,9415.5,9520.5,NaN,9777.7,9924.5,10058,NaN,10243,10344,10533,10684,10785,NaN,11048,11201,11327,NaN,11517,11627,11807,11969,12075,NaN,12334,12486,12617,NaN,12808,12917,NaN,13174,13330,13475,13708,13854,13966,NaN,14224,14370,14499,NaN,14691,14821,NaN,15075,15229,15359,NaN,15552,15659,15855,16003,16134,NaN,16395,16541,16695,16882,17035,17145,NaN,17421,17572,17723,NaN,17934,18036,18259,18421,18561,NaN,18812,18964,19097,NaN,19292,19407
