n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
1860.2,1984.8,2133.2,2280.3,2418.6,2559.6,2666.2,NaN,2847.4,2986.7,3170.4,NaN,3274.5,3459.1,NaN,3646.1,3792.5,3986.4,NaN,4087.2,4268.8,NaN,4461.7,4610,4825.2,NaN,4906.1,5089.7,NaN,5282.4,5431.6,5626.3,5778.6,5881.8,6061.8,NaN,6258.8,6412.6,6602.7,NaN,6710.4,6898.2,NaN,7093.4,7248,7430.5,7579.4,7690.3,7878.7,NaN,8071.9,8227.3
1892.5,2029.6,2196.2,2354.2,2500.2,2633.4,NaN,2794.4,2946.7,3068.8,NaN,3244.9,3352.8,NaN,3605.7,3746.6,3891.8,NaN,4054.5,4159.2,NaN,4413,4564.8,4694,NaN,4878.9,4979.7,NaN,5237.8,5381.6,5518.9,5703.4,5848,5957.7,NaN,6210.7,6362.2,6513.2,NaN,6673.5,6798.6,NaN,7051,7161.7,7333,7507.8,7652.6,7788.7,NaN,8029.2,8175.2,8314.2
