n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
3405.2,3570.9,3737,3881.8,4026.5,4169.6,4309.7,4418.6,NaN,4606.2,4744.8,4952.3,NaN,5032.2,5210.4,NaN,5399.3,5543.8,5734.8,NaN,5833.4,6028.8,NaN,6220.1,6361,6576.9,NaN,6654.6,6826.6,6970.5,7075.3,7257.5,NaN,7449.4,7595.2,7797.4,NaN,7898.8,8094.5,NaN,8289.6,8437.8,8622.6,NaN,8743.4,8936.6,NaN,9130.7,9282.3,9493.6,9645.6,9751.9,9935.8,NaN,10133,10290,10509,NaN,10591,10792,NaN,10988,11139,11340,11492,11601,11794,NaN,11991,12145,12308,NaN,12452,12653,NaN,12848,13000,13221,NaN,13306,13515,13659,13807,13964,14077,NaN,14277,14439,14602,NaN,14747,14944,NaN,15142,15296,15567,15700,15807,15993,NaN,16189,16351,16568,NaN,16652,16868,NaN,17069,17218
3522.2,3618.1,3792.2,3942.5,4099.9,4243.4,4383.2,NaN,4560.3,4704.8,4828.8,NaN,5000.2,5105.5,NaN,5353.8,5499.8,5628.6,NaN,5807.3,5906.6,NaN,6171.1,6318.3,6447.2,NaN,6625.4,6723.8,6903,7039.3,7160.9,NaN,7403.9,7544.2,7678.7,NaN,7862.3,7986.1,NaN,8242.8,8381.9,8521,NaN,8705.3,8833.5,NaN,9078.2,9219,9364.2,9568.9,9713.1,9818.6,NaN,10088,10230,10372,NaN,10557,10659,NaN,10939,11078,11221,11411,11562,11691,NaN,11943,12081,12227,NaN,12416,12540,NaN,12794,12944,13085,NaN,13271,13397,13580,13731,13890,14038,NaN,14228,14374,14522,NaN,14708,14837,NaN,15095,15234,15383,15601,15771,15898,NaN,16145,16285,16436,NaN,16616,16722,NaN,17020,17163,17303
