n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,n,n,a,b,l,e,d,g
1978.5,2184.5,2346.8,2490,2644.2,2792.6,2940.9,3063.8,NaN,3253.9,3395.7,3611.8,NaN,3690.3,3876.7,NaN,4069.4,4218.4,4436,NaN,4516.7,4716,4865.9,5012.8,5166.2,5281.1,NaN,5469.3,5617.8,5835.5,NaN,5919.6,6109.3,NaN,6305.6,6456.1,6676.6,NaN,6758.5,6969.1,NaN,7155.7,7305.6,7479.5,7639.6,7744.6,7940.9,NaN,8134.7,8284.3,8445.9,NaN,8599.6,8811.3,8962.4,9118.9,9267.7,9385.1,NaN,9583.1,9743.6,9966.5,NaN,10051,10277,10425,10570,10715,NaN,10915,11066,11300,NaN,11386,11590,NaN,11789,11952,12111,NaN,12282,12481,NaN,12683,12841,13062,13216,13398,13548,13705,13832,NaN,14024,14185,14353,NaN
2019.6,2218.9,2389,2552,2709.6,2865.8,3017.3,NaN,3211.4,3355.8,3479,NaN,3656.8,3759.8,NaN,4022.3,4173.1,4302.9,NaN,4482,4584.6,4787.2,4944.7,5088.1,5240.8,NaN,5408.8,5571.7,5703.3,NaN,5887.2,5996.2,NaN,6257.4,6407.6,6539.9,NaN,6724.1,6831,NaN,7107.2,7258,7393.2,7559.6,7705.1,7818.7,NaN,8088,8237.2,8372,NaN,8564.1,8697.2,8881,9043.4,9199.8,9346.4,NaN,9535.1,9691.9,9821.2,NaN,10018,10125,10345,10501,10646,NaN,10867,11019,11156,NaN,11355,11461,NaN,11739,11886,12033,NaN,12227,12378,NaN,12632,12789,12930,13139,13292,13473,13627,13779,NaN,13978,14134,14273,NaN,14467
