n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1979.4,2108,2291.2,2443.4,2593.6,2741.2,2875.8,3015.8,3136,NaN,3325,3468.8,3680.4,NaN,3760,3938.1,4086.4,4191.9,4369.3,NaN,4561.2,4708.2,4922.7,NaN,5010.4,5189.6,NaN,5384.2,5532.9,5752.8,NaN,5836,6007.5,6158,6302.9,6457.4,NaN,6651.1,6802.4,6995.1,NaN,7104.4,7296.9,NaN,7494.2,7645.4,8157.5,8296.8,8440.4,8594.3,8696.9,NaN,8888.3,9033.5,9255.6,NaN,9337.5,9532.1,NaN,9729.8,9893.5,10107,NaN,10215,10414,NaN,10606,10765,10993,11137,11246,11438,NaN,11634,11799,11956,NaN,12112,12303,NaN,12504,12663
2019.9,2161.1,2345.6,2498.9,2663,2814,2950.6,3087.8,NaN,3279.8,3429.6,3554.8,NaN,3730.3,3833.3,4015.2,4161.3,4274,NaN,4517.7,4666.7,4793.3,NaN,4976.2,5088.1,NaN,5339.7,5494.1,5618.2,NaN,5805.4,5919,6085,6230.3,6339.8,NaN,6604.8,6756,6892.1,NaN,7074.5,7180.8,NaN,7447,7596.3,7732.7,8225.5,8372.9,8521.9,8666.1,NaN,8834,8990.4,9123.1,NaN,9306.9,9419.7,NaN,9684.1,9834.2,9977.6,NaN,10180,10292,NaN,10575,10701,10854,11062,11211,11327,NaN,11590,11738,11886,NaN,12075,12211,NaN,12451,12611,12747
