n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e
1971.7,2111.3,2289.1,2440.2,2585.5,2728.6,2874.5,3019.1,3140.3,NaN,3325.8,3470,3679.7,NaN,3761.1,3946.2,NaN,4137.1,4284.3,4493,NaN,4571.8,4753,NaN,4941.4,5088.6,5253.2,5402.3,5502.6,5680.8,NaN,5868.9,6013.8,6230.5,NaN,6311.6,6492.3,NaN,6684.3,6828.2,7024.3,NaN,7121.8,7303.9,NaN,7494.9,7642.6,7836.7,7980.9,8083.8,8261,NaN,8454.5,8598.7,8816.8,NaN,8896.2,9082.3,9227.7,9337.4,9514,NaN,9707.6,9860.1,10058,NaN,10165,10354,10506,10621,10810,NaN,11005,11153,11377,NaN,11461,11652,NaN,11846,12001,12217,NaN,12303,12501,12651,12794,12946,NaN,13140,13290,13562,13716,13824,13988,NaN,14209,14360,14512,NaN,14667,14863,NaN,15060,15223,15435,15586,15698,15890,NaN,16084,16234,16392,NaN,16547,16749,NaN,16948,17274,17415,17553,17699,17810,NaN,18005,18156,18386,NaN,18474,18659,NaN,18870,19026,19180,NaN,19338,19536,NaN,19732,19889
2008.6,2160.5,2336.8,2502.8,2644.2,2796.2,2947.7,3096.1,NaN,3284.5,3429.2,3554.7,NaN,3728.2,3834.7,NaN,4090.5,4238.8,4370.9,NaN,4542.3,4645.2,NaN,4896.1,5043.5,5172.6,5329.4,5469.9,5578.1,NaN,5826,5971.7,6116,NaN,6281.5,6385.3,NaN,6635.9,6787.7,6909.8,NaN,7088.7,7194.8,NaN,7448.1,7595.9,7727.5,7912,8054.2,8159.5,NaN,8406.7,8555.3,8702.2,NaN,8865.8,8971.2,9161.3,9299.7,9409.8,NaN,9660.1,9815.8,9951.4,NaN,10136,10251,10430,10581,10706,NaN,11001,11094,11241,NaN,11430,11539,NaN,11803,11956,12088,NaN,12269,12385,12570,12726,12874,NaN,13097,13247,13376,13642,13792,13909,NaN,14154,14300,14443,NaN,14629,14766,NaN,15014,15143,15301,15513,15661,15792,NaN,16042,16189,16318,NaN,16512,16645,NaN,16903,17054,17338,17494,17634,17779,NaN,17948,18114,18262,NaN,18439,18554,NaN,18840,18944,19111,NaN,19295,19436,NaN,19688,19839,19974
