l,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,n,n,f,a,b,l,e,d,g,f,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1978.6,2131.6,2299.3,2564.1,2750.9,2912.1,3080.2,3238,3403.9,3553.6,3696.1,3830.3,NaN,4018.9,4165.2,4380.8,NaN,4466.1,4651.1,NaN,4847.5,4996.5,5150.9,NaN,5305.4,5498.1,NaN,5691.3,5839.6,5997.4,NaN,6151.4,6354.5,NaN,6541.1,6690.7,6900.1,7053.7,7163.8,7349.5,NaN,7547.2,7701.8,7865.6,NaN,8017.3,8194.4,NaN,8394.2,8550.9,8779.4,NaN,8864.6,9069.4,NaN,9266.6,9418.6,9577.1,NaN,9734.3,9910,10066,10182,10374,NaN,10574,10731,10892,NaN,11051,11265,11417,11539,11729,NaN,11928,12088,12341,12500,12617,12841,12996,13127,13316,NaN,13514,13673,13891,NaN,13979,14203,14365,14525,14677,14820,14935,NaN,15131,15281,15506,NaN,15597,15801,NaN,15997,16166,16448,16595,16713,16912,NaN,17111,17269,17516,NaN,17604,17819,NaN,18022,18200
2017.5,2171.8,2348.7,2610.9,2786.8,2950.5,3137.7,3313.6,3476.9,3627.8,3770.6,NaN,3973.8,4122,4251.3,NaN,4429.3,4544,NaN,4800.4,4953.7,5085.2,NaN,5270.2,5405.2,NaN,5647.7,5797.2,5926.4,NaN,6114.6,6247.5,NaN,6496.4,6646.1,6782.8,6978.4,7128.8,7241.4,NaN,7500.3,7657.1,7786.4,NaN,7974.1,8095.1,NaN,8347.3,8494.6,8639.3,NaN,8832.1,8943.9,NaN,9218.6,9372,9502.3,NaN,9697.8,9832.9,9985.7,10144,10280,NaN,10530,10686,10816,NaN,11014,11152,11337,11491,11641,NaN,11882,12037,12175,12418,12577,12715,12912,13075,13225,NaN,13467,13620,13759,NaN,13944,14059,14270,14441,14605,14756,14899,NaN,15083,15235,15368,NaN,15557,15680,NaN,15954,16098,16251,16514,16673,16811,NaN,17065,17220,17357,NaN,17567,17686,NaN,17975,18126,18283
