n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,n,n,n,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n
1987.4,2162.8,2313.5,2473.9,2646.1,2792,2961.8,3114.7,3266.8,3376.3,NaN,3564.5,3709.5,3863,NaN,4007.8,4206.7,NaN,4405.3,4556.6,4769.8,NaN,4853.7,5065.3,5213.8,5345.2,5522.2,NaN,5715,5873.8,6088.2,6243.5,6345.2,6551.1,6712.8,6863.8,6981.4,NaN,7178.3,7334.7,7571.1,7721.4,7828,8018.5,NaN,8218,8364.2,8569.9,NaN,8668.1,8890.2,9049.9,9202.7,9339.8,9452.1,NaN,9645.3,9797.6,9999.1,NaN,10100,10295,NaN,10492,10646,10867,NaN,10955,11189
2022.5,2217.3,2369,2527.9,2704.5,2865.6,3034.3,3187,3337.7,NaN,3513.6,3660.3,3793.9,NaN,3972.5,4098.9,NaN,4355.9,4500.8,4636.2,NaN,4819.1,4921.1,5132.7,5289.3,5430.7,NaN,5665.8,5813.4,5958.6,6162.2,6310.4,6412.7,6621.2,6789.9,6937.5,NaN,7129.4,7273.3,7418.5,7649.8,7794.8,7905.8,NaN,8172.9,8325.1,8449.2,NaN,8634.9,8740,8958.8,9127.5,9275.9,9416.9,NaN,9590.2,9752.2,9881.8,NaN,10068,10184,NaN,10446,10590,10731,NaN,10920,11033,11252
