n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,a,b,l,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,n,f,a,b,l
1967.4,2162.2,2383.7,2547.9,2804.2,2945.8,3089.8,3231.3,3346.6,NaN,3528.3,3670.5,3877.6,NaN,3956.8,4137.6,NaN,4326.4,4469.6,4682.5,NaN,4762.4,4946.9,NaN,5140.1,5285.6,5493.2,5632.2,5737.8,5923.2,NaN,6116.1,6277.9,6850.2,6993.2,NaN,7133.5,7267.9,NaN,7450.8,7595.2,7802.2,NaN,7878.4,8064.2,NaN,8255.5,8402.5,8616.7,NaN,8697.9,8885.8,NaN,9079.3,9232.8,9449.8,NaN,9528.1,9719.8,NaN,9913.3,10069,10296,10434,10538,10741,NaN,10937,11109,11379,11599,11744,11857,12043,NaN,12241
2007.6,2214.1,2422.1,2592.8,2864.8,3020.7,3164.5,3302.8,NaN,3469.1,3617.5,3750.4,NaN,3924.8,4023.7,NaN,4280,4408.8,4548.7,NaN,4730.9,4832.8,NaN,5092.8,5230.6,5369.4,5568.8,5705,5800.8,NaN,6070.3,6198.4,6358.8,6909.4,NaN,7064.5,7204.1,NaN,7404.7,7538.9,7675.1,NaN,7850.2,7947.5,NaN,8209.4,8349.5,8482,NaN,8664.5,8767.7,NaN,9035.5,9172.5,9312.8,NaN,9498.1,9598.8,NaN,9865.8,10003,10151,10366,10503,10606,NaN,10889,11030,11188,11427,11669,11816,11946,NaN,12195,12312
