n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l
3561.4,3671.1,4004.9,4170.6,4305.7,4446.9,4585.9,4729.8,4845.6,NaN,5029.5,5172.4,5379.1,NaN,5455.3,5630,NaN,5815.5,5957.3,6166.7,NaN,6245.8,6425.6,NaN,6612.8,6759.2,6972.5,NaN,7055.2,7236.9,NaN,7425.5,7570.5,7785.2,NaN,7864.2,8036.3,8187.8,8295.4,8481.2,NaN,8673.7,8818.6,8967.2,NaN,9115.8,9303.5,NaN,9495.9
3600.8,3744.5,4046.6,4221.7,4357.9,4518,4667,4804.2,NaN,4986.4,5130.1,5251.5,NaN,5429.2,5523.4,NaN,5772,5916.6,6040,NaN,6216.9,6314.4,NaN,6570.4,6712.6,6839.7,NaN,7022.7,7120,NaN,7383.9,7526.3,7654.1,NaN,7836.5,7938.6,8114.4,8260,8357.3,NaN,8624.3,8773.2,8903.9,NaN,9077.2,9209.1,NaN,9442,9582
