n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e
2367.7,2504.3,2685.2,2843.2,2988.3,3126.8,3235.8,NaN,3415.2,3557.3,3767.1,NaN,3844.8,4026.2,NaN,4219,4367.2,4577.6,NaN,4658.4,4845.1,NaN,5034.8,5189,5397.6,5548.2,5653.8,5830.8,NaN,6025,6169.5,6387.6,6546.9,6651.3,6838.2,NaN,7028.3,7173.4,7389.1,NaN,7467.5,7655.5,NaN,7850.7,8002.6,8197.3,NaN,8303.4,8495.9,8644.3,8753.5,8930.8,NaN,9122.1,9273.3,9497,9638.9,9745.8,9935.5,NaN,10132,10284,10430,NaN,10585,10780,NaN,10972,11139,11357,11506,11611,11803,NaN,11996,12155,12338,12497,12611,12799,NaN,12994,13150
2400,2554.9,2730.3,2907.4,3062.6,3199.3,NaN,3360.8,3517.1,3641.5,NaN,3817.4,3922,NaN,4172.6,4320.2,4451,NaN,4628.1,4738.5,NaN,4994.7,5135.4,5275.1,5477,5619.2,5729.9,NaN,5977.9,6127.8,6251.4,6463.7,6618.2,6728,NaN,6986.8,7131.2,7258.3,NaN,7435.8,7543.8,NaN,7804.7,7956.6,8086.5,NaN,8271.2,8384.6,8571.1,8718.2,8848,NaN,9079.1,9217.9,9360.9,9574.8,9710.5,9846.6,NaN,10085,10241,10370,NaN,10544,10687,NaN,10929,11080,11224,11438,11580,11694,NaN,11954,12102,12240,12410,12570,12713,NaN,12948,13096,13237
