n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
2733.6,2901.2,4351.2,4541.5,4716.7,4887,5054,5218.3,5362.3,5521.6,5669.7,5822.8,5925.2,NaN,6117.6,6260.9,6478.1,NaN,6557.3,6740.8,NaN,6936.6,7083.5,7300.1,NaN,7382.8,7569.4,NaN,7761.2,7905.2,8127.4,NaN,8208.9,8380.6,8530.9,8640.1,8825.1,NaN,9015.5,9167.8,9388.7,NaN,9472.5,9656.4,NaN,9850.5,9997.7,10217,NaN,10298,10481,10625,10739,10916,NaN,11111,11259,11481,NaN,11565,11752,NaN,11946,12101,12327,NaN,12406,12601,12750,12858,13040,NaN,13236,13385,13612,NaN,13697,13887,NaN,14082,14233,14454,14612,14720,14916,NaN,15111,15263,15480,NaN,15565,15758,NaN,15952,16111,16358,NaN,16440,16636,16788,16895,17118,17208,NaN,17409,17569,17792,NaN,17873,18082,NaN,18278,18442,18645,18811,18919,19107,NaN,19305,19463
2854.8,2946.8,4399.1,4596.7,4771.4,4941.1,5107.3,5269.8,5430.2,5598.1,5744.9,5895.6,NaN,6057.2,6222.7,6345.6,NaN,6527.2,6628.1,NaN,6889.4,7037.4,7169.4,NaN,7351.5,7454.8,NaN,7714,7860.6,7988.3,NaN,8177.2,8284.3,8459.6,8604,8708.5,NaN,8968.8,9117.8,9251.1,NaN,9440.7,9545.4,NaN,9804.2,9953.6,10084,NaN,10268,10383,10560,10701,10830,NaN,11063,11215,11343,NaN,11533,11644,NaN,11900,12055,12184,NaN,12378,12492,12681,12824,12942,NaN,13191,13343,13470,NaN,13664,13782,NaN,14036,14187,14317,14532,14687,14799,NaN,15066,15217,15347,NaN,15531,15648,NaN,15908,16057,16196,NaN,16409,16526,16719,16854,16981,17159,NaN,17364,17516,17654,NaN,17844,17962,NaN,18233,18385,18553,18724,18885,19005,NaN,19260,19413,19550
