n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,n,a,b,l,e
2168.4,2394.2,2550.9,2725.4,2870.6,3021.2,3172.8,3284.3,NaN,3464.2,3607.9,3818.3,NaN,3896.9,4085.2,NaN,4274.4,4418.5,4627.7,NaN,4707.8,4910.7,NaN,5093.2,5246.6,5412.4,5565.8,5671.5,5853.4,NaN,6044.8,6191.1,6404.5,NaN,6487.9,6683,6826.7,6941.4,7120.3,NaN,7319.8,7496.1,7701.6,7857.3,7961.4,8150.1,NaN,8343.3,8485.4,8647.7,NaN,8793.6,9001.3,9174.6,9310.9,9494.3,NaN,9689,9842.4,10289,10427,10563,10669,NaN,10861,11038
2202.9,2443.1,2594.2,2765.7,2936.4,3092.8,3240.8,NaN,3415.1,3551,3685.1,NaN,3863.9,3963.5,NaN,4227,4365.3,4498.4,NaN,4675.2,4777.9,NaN,5047.1,5186,5323.8,5485.8,5635.1,5760.7,NaN,6001,6142.2,6272.6,NaN,6452.5,6578.5,6753.4,6898.3,7028.8,NaN,7269.4,7405.8,7571.7,7773.8,7925.5,8050.9,NaN,8298.2,8435.9,8566,NaN,8754,8885,9075.5,9247.9,9395.5,NaN,9646.3,9777.8,9925,10357,10496,10633,NaN,10817,10960,11120
