n,n,n,n,n,n,n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,n,n,f,a,b,l,e,n,n,f,n,n,f,a,b,l,e,n,n,f,n,n,f,a,b,l,e
1984.8,2053.1,3591.1,3694.7,3872.2,4024.5,4191.2,4354.5,4535.7,4699.5,4853.3,5009.7,5157.5,5307.5,5421.5,NaN,5609.2,5758,5972.8,NaN,6057.3,6246.2,NaN,6440.3,6589.1,6805.5,NaN,6886.9,7064.3,7214.2,7320.9,7508.7,NaN,7701.6,7850.9,8065.5,NaN,8146.8,8335.3,NaN,8530.3,8676.2,8856.3,9007.7,9112.3,9294.2,NaN,9487.5,9636.8,9860.6,NaN,9941.5,10131,NaN,10323,10472,10687,NaN,10768,10974,11132,11245,11425,NaN,11620,11769,11986,NaN,12067,12255,NaN,12451,12598,12825,NaN,12907,13100,NaN,13298,13456,13636,13792,13900,14094,NaN,14290,14447,14667,NaN,14752,14941,15094,15203,15423,15573,15688,15904,NaN,16098,16244,16408,16567,16680,16894,17047,17172,17359,NaN,17558,17719,17927,18084,18195,18434,18595,18715,18917,NaN,19112,19286
2017.4,2180.6,3629.3,3765.1,3922,4079.3,4244.2,4414,4576.5,4764.6,4928.2,5084.1,5235.2,5380.5,NaN,5547.6,5714.5,5843.9,NaN,6020.2,6128.4,NaN,6396.2,6543.3,6673,NaN,6856.1,6962.2,7138.6,7288.8,7399,NaN,7653.9,7799.2,7934.3,NaN,8114.8,8219.8,NaN,8483.5,8627.8,8759.7,8934.5,9077.9,9189.2,NaN,9441.3,9591.4,9723.1,NaN,9909.2,10017,NaN,10278,10426,10555,NaN,10735,10842,11046,11204,11338,NaN,11576,11723,11854,NaN,12037,12145,NaN,12403,12556,12683,NaN,12876,12983,NaN,13252,13406,13542,13718,13866,13972,NaN,14244,14396,14533,NaN,14715,14827,15023,15165,15298,15495,15648,15780,NaN,16052,16205,16328,16494,16642,16776,16966,17123,17269,NaN,17513,17666,17803,18010,18156,18271,18505,18670,18811,NaN,19069,19220,19370
