n,n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
2129.2,2271.9,2436.6,2582.5,2719.2,2869.2,3015.6,3157.4,3285.3,NaN,3472.6,3620.5,3834.7,NaN,3916.6,4108.2,NaN,4299.5,4449.8,4677.2,NaN,4759.8,4949.1,NaN,5138.9,5289.3,5515.2,NaN,5596.7,5782.8,5931,6032.7,6214.8,NaN,6406.3,6547.3,6800.9,NaN,6881,7069.9,NaN,7266.2,7413.1,7616.8,NaN,7716.7,7899.4,8045.2,8157.7,8346.7,NaN,8538.3,8683.8,8898.1,NaN,8985.4,9173.8,NaN,9367.5,9518.1,9758.9,9903.1,10005,10211,NaN,10403,10557,10781,NaN,10867,11062,NaN,11258,11407,11628,NaN,11712,12011,12161,12310,12456,12572,NaN,12763,12911,13130,NaN,13214,13404,NaN,13599,13756
2182.4,2328.8,2488.5,2636.8,2781.5,2946,3095,3234.8,NaN,3428.7,3573.4,3702.7,NaN,3886.4,3992.4,NaN,4253.7,4399,4530.8,NaN,4725.8,4834.2,NaN,5095.5,5244.6,5374.4,NaN,5566.1,5674.9,5859.4,6004.4,6104.4,NaN,6360.3,6505.5,6630.9,NaN,6851.2,6959.9,NaN,7220.8,7370.4,7494.8,NaN,7689.5,7798.5,7975.6,8120.8,8251.7,NaN,8491.8,8637.9,8767,NaN,8950,9063.6,NaN,9322,9469.1,9604.3,9837,9975.8,10086,NaN,10358,10509,10640,NaN,10833,10947,NaN,11213,11358,11491,NaN,11680,11792,12080,12240,12389,12535,NaN,12720,12867,12999,NaN,13184,13295,NaN,13553,13702,13843
