n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e
3118.3,3251.8,3412.2,3546.3,3694.3,3835.3,3970.9,4083.8,NaN,4263.1,4401.4,4611.3,NaN,4689.6,4870.2,NaN,5062.6,5209.9,5404.7,NaN,5506.6,5695.9,NaN,5889.7,6035.9,6233.8,NaN,6330.5,6519.2,NaN,6713.6,6858.3,7078.1,NaN,7164,7338.8,7487.7,7593.1,7778.5,NaN,7972.9,8122.4,8279,NaN,8434.9,8629.2,NaN,8826.9,8984.5,9188.4,NaN,9292,9490.8,NaN,9688.7,9845.7,10070,NaN,10158,10354,10505,10619,10818,NaN,11017,11169
3151.6,3306.7,3466.6,3617.2,3768.7,3909.2,4046.8,NaN,4218.1,4363,4484.9,NaN,4660.8,4764.9,NaN,5019.5,5167,5305.5,NaN,5477.4,5583.8,NaN,5843.8,5990,6119.4,NaN,6299.7,6404.9,NaN,6668.1,6814.4,6943.6,NaN,7129.1,7239.1,7416.1,7559.1,7670.6,NaN,7921.9,8079.6,8224.1,NaN,8398.1,8533.9,NaN,8777,8924.6,9081.7,NaN,9261.3,9370.6,NaN,9641.4,9790.8,9931.7,NaN,10123,10239,10428,10579,10714,NaN,10967,11121,11283
