n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e
1991,2205.8,2350.6,2497.1,2642,2786.9,2924.4,NaN,3106.2,3244.1,3451.6,NaN,3529.5,3712.5,NaN,3900.5,4045.7,4257.2,NaN,4336.3,4513.2,NaN,4701.5,4846.8,5009.2,5157.6,5259.9,5440.2,NaN,5628.3,5774,5985.9,NaN,6066.1,6251.3,NaN,6442.9,6587.8,6802.2,NaN,6885.2,7078.5,NaN,7261.6,7408.8,7607.5,7755.5,7856.7,8045.1,NaN,8233.8,8381.7,8596.4,NaN,8679.2,8862.8,NaN,9060.4,9210.4,9405.7,9556.6,9663,9852.4,NaN,10040,10190,10412,NaN,10494,10700,10865,11004,11135,NaN,11325,11474,11688,NaN,11773,11989,NaN,12178,12336,12539,12691,12803,13000,NaN,13186,13343,13501,13653,13759,13957,NaN,14153,14316,14537,NaN,14621,14829,NaN,15022,15172
2040.2,2261.9,2425,2566.5,2711.5,2860.4,NaN,3059.8,3197,3324.1,NaN,3497.7,3599.8,NaN,3855.9,3996.8,4128.8,NaN,4305.4,4408.4,NaN,4656.4,4795.6,4927.4,5087,5227.2,5333,NaN,5583.9,5722.3,5856.2,NaN,6034.2,6137.5,NaN,6394.4,6543.2,6669.5,NaN,6851.4,6958.6,NaN,7212.5,7355.3,7493.5,7684.8,7825.8,7930.2,NaN,8180.8,8328.5,8464.6,NaN,8644.6,8753.6,NaN,9008.3,9155.8,9294.5,9483.9,9626,9737.3,NaN,9993.3,10142,10272,NaN,10460,10574,10770,10938,11080,NaN,11280,11422,11557,NaN,11739,11845,NaN,12123,12251,12418,12618,12764,12895,NaN,13134,13268,13426,13581,13724,13841,NaN,14103,14250,14394,NaN,14585,14695,NaN,14977,15123,15256
