n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
1975.2,2102.6,2253.8,2405.4,2552.3,2702.9,2833.8,NaN,3014.9,3153.8,3362.2,NaN,3442.8,3629.1,NaN,3817.2,3967.1,4182.4,NaN,4265.1,4449.1,NaN,4641.5,4786.6,4979.5,NaN,5082.3,5271.4,NaN,5462.4,5607.2,5823.2,NaN,5904.7,6089.9,6237.6,6344,6522.7,NaN,6712.8,6861.1,7079,NaN,7163.3,7348.5,7493.8,7600.6,7779.4,NaN,7971.9,8116.6,8318.5,8471.8,8580.1,8763.1,NaN,8957.6,9113.2,9308.8,NaN,9411.4,9607.1,NaN,9795.7,9947.9,10159,10303,10412,10598,NaN,10792,10944
2009.6,2148.6,2313,2470.2,2630.7,2777,NaN,2971.2,3113.4,3239.6,NaN,3412.3,3519.1,NaN,3775.4,3919.8,4050,NaN,4233.4,4342.4,NaN,4597.1,4745,4868.5,NaN,5053.5,5158.2,NaN,5419.2,5562.7,5690.2,NaN,5873.8,5979.9,6163,6312.7,6419.6,NaN,6668.6,6820.9,6950.3,NaN,7130.8,7244,7421.4,7567.7,7679.6,NaN,7931,8073.8,8202,8400.7,8545,8652.9,NaN,8910.9,9062.6,9199.5,NaN,9383.4,9490.4,NaN,9752.2,9906.6,10033,10235,10377,10488,NaN,10747,10879,11028
