n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e
1982.5,2218.2,2371.2,2545.9,2706.7,2862.8,2999.7,3133.9,NaN,3319.2,3461.5,3675.1,NaN,3757,3949.4,NaN,4144.3,4291.9,4493.8,NaN,4587.9,4767.4,4934.4,5043.8,5230.7,NaN,5425.1,5580.3,5802.6,NaN,5888.8,6078.9,NaN,6277.2,6428.6,6654.1,NaN,6736.3,6927.7,7086.2,7190.8,7379.1,NaN,7574.5,7731.6,7962.6,8117.7,8238.3,8437.5,NaN,8640.4,8803.8,9028.2,NaN,9111.2,9338.8,9487.9,9644.3,9800.8,9948.6,10067,NaN,10262,10421,10641,NaN,10724,10933,NaN,11131,11289
2030.8,2250.5,2427.9,2611.4,2773.7,2937.2,3076.5,NaN,3271.5,3418.8,3545.2,NaN,3722.3,3834.4,NaN,4095.8,4244.4,4381,NaN,4559.1,4668.6,4846.5,5006.6,5121.4,NaN,5380.1,5527.8,5667.8,NaN,5853.3,5969.4,NaN,6229.4,6385.1,6513.7,NaN,6706.5,6816.7,7004.5,7156.7,7274,NaN,7528.2,7680.2,7817.2,8041.2,8193.9,8336.2,NaN,8590.7,8746.4,8890.3,NaN,9080,9192.2,9409.7,9569.3,9723.7,9877.8,10028,NaN,10218,10370,10509,NaN,10694,10808,NaN,11083,11231,11378
