n,n,n,n,n,n,n,a,b,l,e,d,g,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,n,n,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e,d,g,f,a,b,l,e,d,g,f,a,b,l,e,n,n,f,a,b,l,e
1784.7,1985.8,2171.8,2348.8,2503.7,2656.3,2808.4,2951.1,NaN,3136.9,3279,3486.1,NaN,3567.8,3753.9,NaN,3949.7,4106,4321.6,NaN,4403.2,4601.5,4751.8,4855.2,5041.8,NaN,5250.2,5393,5574.5,5723.8,5830.3,6023.2,NaN,6218.6,6369.6,6589.2,NaN,6670.7,6860.8,NaN,7057.4,7209,7427.9,NaN,7511.8,7700.8,NaN,7901.6,8050.7,8253,8400.7,8506.6,8710.2,NaN,8908.7,9068.8,9283.9,NaN,9368.6,9591.3,9744.7,9874.3,10058,NaN,10254,10410,10637,NaN,10718,10913,NaN,11112,11278,11755,11900,12009,12196,NaN,12391,12538,12762,NaN,12847,13046,NaN,13245,13400,13624,NaN,13712,13934,NaN,14134,14295,14519,14693,14793,14983,NaN,15186,15363
1821.8,2039.5,2229.9,2407.5,2572.5,2732.2,2887.9,NaN,3087.5,3218.5,3358.6,NaN,3536.4,3631.8,NaN,3901,4036.3,4190.9,NaN,4371.5,4473.2,4673.1,4822.5,4925.7,NaN,5185.7,5334.6,5474.2,5646.9,5797,5903.4,NaN,6172.5,6310.8,6450.8,NaN,6639.8,6739.9,NaN,7010.1,7153.5,7294,NaN,7477,7585.1,NaN,7851.3,7991.8,8131.1,8328.1,8475.5,8576.7,NaN,8856.7,9003.9,9150.3,NaN,9338,9437.6,9659.2,9820.8,9963.6,NaN,10207,10350,10496,NaN,10688,10790,NaN,11063,11204,11360,11826,11971,12083,NaN,12346,12476,12625,NaN,12814,12925,NaN,13196,13336,13478,NaN,13677,13781,NaN,14087,14235,14373,14590,14763,14864,NaN,15136,15285,15445
